verdict,text,part_single,part_concatenated
ME-21-06-54543-88,לפני:                             כבוד השופט  אינאס סלאמה,בית המשפט המחוזי בחיפה,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה"
ME-21-06-54543-88,לפני:                             כבוד השופט  אינאס סלאמה,בית המשפט המחוזי בחיפה,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה"
ME-21-06-54543-88,"ע""י ב""כ עוה""ד עאדל בויראת",הנאשמים:,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:"
ME-21-06-54543-88,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), 7(ג)",הנאשמים:,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:"
ME-21-06-54543-88,"חוק העונשין, תשל""ז-1977: סע'  29, 40יא",הנאשמים:,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:"
ME-21-06-54543-88,"הנאשמים שלפניי הורשעו, על פי הודאתם במסגרת הסדר טיעון בעובדות כתב אישום מתוקן, בביצוע עבירה של החזקת סמים מסוכנים שלא לצריכה עצמית - עבירה לפי סעיף 7(א) ו- 7(ג) (רישא) לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: ""פקודת הסמים המסוכנים"") + סעיף 29 לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"").",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,הסדר הטיעון לא כלל הסכמה בדבר העונש שייגזר על הנאשמים.,גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,"בעקבות הסדר הטיעון, הנאשמים חזרו בהם מכפירתם והודו כאמור לעיל בעובדות כתב האישום המתוקן.",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,"על פי עובדות כתב האישום המתוקן, ג'אבר רחיל (להלן: ""ג'אבר"") הוא בעליו של רכב מסוג מזדה לאנטיס מ""ר 75-194-51 (להלן: ""הרכב הראשון"").",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,"פהד עמאש הוא בעליו של רכב מסוג מזדה 3 מ""ר 31-924-14 (להלן: ""הרכב השני"").",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,"בין ג'אבר לבין הנאשם מס' 1 (להלן: ""נאשם 1"") היכרות מוקדמת, ובין הנאשמים קשרי חברות.",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,"בתאריך 30.5.2021, בשעה 14:00 או בסמוך לכך, מסר ג'אבר את הרכב הראשון לידי נאשם 1, לשימושו.",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,"באותו היום, בסמוך לשעה 18:30, הנאשמים נסעו ברכב הראשון, כשנאשם 1 נוהג ונאשם מס' 2 (להלן: ""נאשם 2"") יושב לצדו.",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,"הנאשמים עצרו את הרכב בסמוך לרחוב הברוש 2 בבנימינה, במרחק מטרים אחדים מהמקום בו חנה הרכב השני.",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,הנאשמים ניגשו אל הרכב השני ופתחו את דלת הנהג וכן את תא המטען.,גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
ME-21-06-54543-88,"לאחר שתי דקות לערך, הם סגרו ונעלו את הרכב השני באמצעות מפתח שברשותם וחזרו אל הרכב הראשון.",גזר דין,"בית המשפט המחוזי בחיפה, בית המשפט המחוזי בחיפה, המאשימה:, מדינת ישראל, נגד, נגד, הנאשמים:, גזר דין"
