verdict,text,part_single,part_concatenated
SH-19-08-33421-111,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), 7(ג)",הנאשם,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם"
SH-19-08-33421-111,"חוק העונשין, תשל""ז-1977: סע'  51ג(ג), 287(א)",הנאשם,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם"
SH-19-08-33421-111,"הנאשם הורשע לפי הודאתו, במסגרת הסדר טיעון בין הצדדים, בעבירות המיוחסות לו בשני כתבי אישום, כדלקמן:",כתבי האישום,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום"
SH-19-08-33421-111,"לפי עובדות כתב האישום, ביום 21.2.2019 החזיק הנאשם בביתו בסם מסוג קנבוס, כדלקמן: 4 אריזות שמשקלן 232.02 גרם נטו, 3 אריזות שמשקלן 102.93 גרם נטו ואריזה שמשקלה 5.14 גרם נטו, שלא לצריכה עצמית.",כתבי האישום,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום"
SH-19-08-33421-111,"לפיכך, הורשע הנאשם בעבירה של החזקה/שימוש בסמים שלא לצריכה עצמית, לפי סעיף 7(א) + 7(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש] התשל""ג-1973 (להלן: ""פקודת הסמים המסוכנים"").",כתבי האישום,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום"
SH-19-08-33421-111,"לפי עובדות כתב האישום המתוקן, בהחלטה שניתנה במסגרת הליכי המעצר בתיק שהתנהל נגד הנאשם בבית משפט השלום בתל אביב, ביום 7.1.2020 שוחרר הנאשם למעצר בית מלא בעיר אשקלון, וניתנו לו שעות התאווררות בפיקוח.",כתבי האישום,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום"
SH-19-08-33421-111,"ביום 30.4.2020 בשעה 03:40, נמצא הנאשם ברחוב בעיר ראשון לציון, שלא בשעות ההתאווררות וללא פיקוח.",כתבי האישום,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום"
SH-19-08-33421-111,"כאשר שוטר הבחין בנאשם במקום ושאל אותו למעשיו, החל הנאשם במנוסה מהמקום, ונתפס  לאחר מרדף רגלי.",כתבי האישום,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום"
SH-19-08-33421-111,"לפיכך, הורשע הנאשם בעבירה של הפרת הוראה חוקית, לפי סעיף 287(א) לחוק העונשין, התשל""ז-1977.",כתבי האישום,"בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום"
SH-19-08-33421-111,"לדיון הראשון בתיק העיקרי ביום 21.11.2019, הנאשם לא התייצב.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
