text,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIR_PUNISHMENT
"* בימ""ש עמד על השיקולים לחומרה ולקולה בעניינו של הנאשם, שהורשע בעבירה של ייבוא סם מסוכן וגזר את עונשו למאסר בפועל של 56 חודשים, מאסר על תנאי וקנס, תוך שהוא מדגיש את המגמה להחמיר עם בלדרי הסמים ולהשית עליהם מאסר בפועל לתקופה משמעותית.",['56 חודשים'],['56 חודשים'],[],,,,,,,,,,,
"עסקינן בגזר דין של הנאשם, שהורשע לפי הודאתו בעובדות כתב האישום, בעבירה של ייבוא סם מסוכן, לפי סעיף 13 יחד עם סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973.",,,,,,,,,,,,,['כן'],
מדובר בענייננו סם קשה מסוג קוקאין ובמשקל לא מבוטל שניתן להפיק ממנו כמות גדולה מאד של מנות סם.,,,,,,,['הסוג של הסמים הוא קוקאין'],['[100 - גרם]'],['[בעל הסמים]'],,,,,
"בענייננו הנאשם הובא לדין בשתי הזדמנויות קודמות, והורשע בין היתר בביצוע עבירות שעניינן החזקת סמים לצריכה עצמית.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,
"לקולא: הנאשם הודה בביצוע העבירה בטרם החלה שמיעת הראיות וחסך זמן שיפוטי, והביע חרטה.",,,,,,,,,,,['כן'],['כן'],['כן'],
"מדובר במי שנדרש לעשות כן בלחץ מסוים של מלווים בשוק האפור; נסיבותיו האישיות של הנאשם אינן קלות; לנאשם אמנם הרשעות קודמות, אך מדובר בעבירות שביצע בשנת 2005; הנאשם מעולם לא ריצה מאסר בפועל.",,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,
"עם זאת, יש בשיקולים לקולא, ובעיקר ההודיה, חלקו של הנאשם בשרשרת, נסיבות גיוסו והעובדה כי זהו מאסרו הראשון, כדי למתן את הענישה.",,,,"['1 : כן', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,['כן'],
"לפיכך הנאשם ירצה 56 חודשי מאסר בפועל; 24 חודשי מאסר על תנאי וישלם קנס בסך 4,000 ₪.",['הנאשם קיבל 56 חודשי מאסר בפועל'],['הנאשם קיבל 24 חודשי מאסר על תנאי'],"['הנאשם קיבל קנס בגובה 4,000 ₪']",,,,,,,,,,,
"הנאשם הורשע על פי הודאתו בעובדות כתב האישום, בעבירה של ייבוא סם מסוכן, לפי סעיף 13 יחד עם סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג – 1973.",,,,,,,,,,,,,['כן'],
הודאת הנאשם נעשתה במסגרת הסדר טיעון לפיו התביעה מגבילה עצמה בעתירתה לגזור על הנאשם 6 שנים מאסר בפועל ואילו ההגנה טוענת באופן חופשי.,,,,,,,,,,,,,['כן'],
"עובר ליום 3.11.10, בברזיל, הטמין הנאשם בתרמילו, בעצמו או באמצעות אדם אחר מטעמו, סם מסוכן מסוג קוקאין.",,,,,,,['סוג הסמים הוא קוקאין'],['[0 - גרם]'],['לא בעל הסמים'],,,,,
"ביום 3.11.10 נחת הנאשם בנמל התעופה בן גוריון כשהוא נושא בתרמילו, בדופן כפולה, חבילה ובה קוקאין במשקל של  ברוטו.",,,,,,,['סוג הסמים הוא קוקאין'],['[1 - קילוגרם]'],,,,,,
"תסקיר שירות המבחן מציין: הנאשם כבן 27, טרם מעצרו עמד לפני נישואים ועבד בעיסוקים מזדמנים.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"אביו סובל מנכות ואינו עובד, אמו ואחיו הקטן חולים.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
הנאשם סיים 7 שנות לימוד.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"על רקע גילו הצעיר כעובד והצורך המיידי בסיוע לכלכלת הבית, סבל מניצול וקיפוח מידי מעסיקיו.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
שירות המבחן התרשם מהתנהלות חסרת יציבות לאורך השנים כשבשנים האחרונות מגלה מעורבות מסוימת בעבריינות סמים.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,
"נראה שבעקבות מחלת אמו והירידה בהשפעתה המרסנת עליו, החל להידרדר.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
בנוסף התרשמו מהיעדר מיומנויות לניהול אורח חיים מאורגן  ויכולת לתפקוד במסגרות מקובלות.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"הנאשם הודה, כי בתקופה שקדמה לביצוע העבירות צבר חובות שאותם שילם באמצעות הלוואות שנטל מהשוק האפור.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
לדבריו הבלדרות סודרה על ידי נושיו.,,,,,,,,,['לא בעל המעבדה'],,,,,
"ב""כ הנאשם ציין: המדובר בנאשם צעיר שלקח אחריות, הודה וחסך זמן שיפוטי ניכר; אין לנאשם עבר פלילי מכביד; הפסיקה ערכה הבחנה בין דגי הרקק לבין הכרישים בסוג זה של עבירות.",,,,"['1 : כן', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,['כן'],['כן'],
"הנאשם פעל ממצוקה כלכלית קשה, כאשר כאח הבכור נדרש לפרנס את הוריו החולים ואחיו.",,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
