Unnamed: 0,verdict,text,part
0,SH-20-06-12380-808,"עדנאן עליוואת – הובא באמצעות שב""ס
 ע""י ב""כ עוה""ד חי אוזן",הנאשם
2,SH-20-06-12380-808,"חוק העונשין, תשל""ז-1977: סע'  29	(א)",הנאשם
3,SH-20-06-12380-808,הנאשם הודה בעובדות כתב האישום המתוקן במסגרת הסדר טיעון והורשע בעבירות 	שמופרטות בו.,כתב האישום המתוקן
4,SH-20-06-12380-808,כתב האישום המתוקן כלל חלק כללי ועוד שני אישומים.,כתב האישום המתוקן
5,SH-20-06-12380-808,לא הייתה הסכמה 	בין הצדדים לעניין העונש והצדדים טענו לעונש באופן פתוח.,כתב האישום המתוקן
6,SH-20-06-12380-808,"על פי החלק הכללי לכתב האישום המתוקן, הנאשם הוא אחיו של פלוני, קטין יליד 2003 	(להלן: האח).",כתב האישום המתוקן
7,SH-20-06-12380-808,ובמועד הרלוונטי לכתב האישום התגוררו הנאשם והאח בתחומי העיר לוד.,כתב האישום המתוקן
8,SH-20-06-12380-808,"באישום הראשון, הנאשם הורשע בביצוע שתי עבירות של סחר בסמים לפי סעיף 13 ו-19א 	לפקודת הסמים המסוכנים (נוסח חדש) תשל""ג-1973 (להלן: פקודת הסמים המסוכנים).",כתב האישום המתוקן
9,SH-20-06-12380-808,"על 	פי עובדות האישום הראשון, פלונית היא קטינה ילידת 2002.",כתב האישום המתוקן
10,SH-20-06-12380-808,"בין התאריך 29.1.2020 ל-	4.4.2020, בשתי הזדמנויות שונות ובמועדים שאינם ידועים למאשימה במדויק, התקשרה 	הקטינה מהטלפון שלה אל הנאשם וביקשה לרכוש ממנו סם מסוכן מסוג קנבוס.",כתב האישום המתוקן
11,SH-20-06-12380-808,"בנסיבות אלה, בשתי ההזדמנויות, הגיע הנאשם למקום בו קבע עם הקטינה, ברמלה, כשהוא 	רכוב על אופניו, מסר לה שקית ובה סם מסוג קנבוס, במשקל שאינו ידוע למאשימה במדויק, 	תמורת 100 ₪ בכל פעם.",כתב האישום המתוקן
12,SH-20-06-12380-808,"באישום השני, הנאשם הורשע, בריבוי הזדמנויות, בעבירות של סחר בסמים לפי סעיף 13 ו-	19א לפקודת הסמים המסוכנים ביחד עם סעיף 29	(א) לחוק העונשין, התשל""ז-1977 (להלן: 	חוק העונשין).",כתב האישום המתוקן
13,SH-20-06-12380-808,"על פי עובדות האישום השני, לבנימין דסטה (להלן: בנימין) היכרות עם הנאשם.",כתב האישום המתוקן
14,SH-20-06-12380-808,"כחצי שנה	 עובר לתאריך 3.6.20, בלוד, פנה הנאשם אל בנימין ושאל אותו אם מעשן ""ירוק"", ובנימין 	השיב בחיוב.",כתב האישום המתוקן
