feature_key,text,extraction
GENERAL_CIRCUM,"בתאריך 07.12.23 נתקבל תסקיר שירות המבחן בו צוין שהנאשם, רווק בן 28 המתגורר עם בת זוגתו ועובד עצמאי בעסק לגידול בקר.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,הנאשם שיתף שעזב את ערערה מאחר והסביבה החברתית משפיעה עליו ופוגעת בהליך שיקומו.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"בשנת 2019, נרצח אחיו הצעיר של הנאשם בשל טעות בזיהוי על רקע סכסוך משפחות שנפתר בשנת 2021 בהליך סולחה רשמי.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']"
GENERAL_CIRCUM,הנאשם השתלב בשוק העבודה מגיל צעיר בשל קשיים כלכליים במשפחתו.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"לאחר שחרורו ממאסרו האחרון בשנת 2020, השתלב בעבודות מזדמנות ועקב מצוקה כלכלית פנה למעורבות פלילית.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"לאחר ביצוע העבירות, התערבות גורמי אכיפת החוק וההליך המשפטי, ניהל מסעדה, אותה סגר בשל הקורונה וכיום מנהל עסק לגידול בקר.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"הנאשם חש סיפוק בעבודתו מאחר שמצליח לפרנס אותו, את בת זוגו ואת הוריו.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"לחובת הנאשם 2 הרשעות קודמות בהן נדון למאסר בפועל בגין עבירת שוד, עבירות אלימות וגניבת רכב, האחרונה משנת 2018.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']"
GENERAL_CIRCUM,"הנאשם הגיע למרבית המפגשים הקבוצתיים של ההליך הטיפולי, לחלקם באיחור, על רקע לחצים בעבודה וקשיים אישיים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
CIR_TYPE,"בתמצית עובדות כתב האישום המתוקן המכיל 6 אישומים, במועדים שונים מכר הנאשם לשוטרים מביימים סמים מסוכנים – 31 גרם לערך מסוג חשיש ו-11 טבליות MDMA וזאת תמורת 2,100 ₪.",['סוג הסמים הוא חשיש ו-MDMA']
CIR_AMOUNT,"בתמצית עובדות כתב האישום המתוקן המכיל 6 אישומים, במועדים שונים מכר הנאשם לשוטרים מביימים סמים מסוכנים – 31 גרם לערך מסוג חשיש ו-11 טבליות MDMA וזאת תמורת 2,100 ₪.",['הכמות של הסמים היא [31 - גרם]']
OFFENCE_NUMBER,"הנאשם הורשע על פי הודאתו, בעבירות המיוחסות לו בכתב אישום מתוקן (במסגרת הליך גישור שנוהל בפני סגנית הנשיאה דאז כב' השופטת ארגמן), בעבירות של הספקת סם מסוכן (ריבוי עבירות) – לפי סעיפים 13 + 19א לפקודת הסמים המסוכנים, (נוסח חדש) תשל""ג – 1973, נהיגה בזמן פסילה – לפי סעיף 67 לפקודת התעבורה (נוסח חדש) תשכ""א – 1961, נהיגה ברכב ללא ביטוח – לפי סעיף 2א לפקודת ביטוח רכב מנועי (נוסח חדש) תש""ל – 1970 ונהיגה ללא רישיון נהיגה (פקיעה מעל שנתיים) – לפי סעיף 10(א) לפקודת התעבורה (נוסח חדש) תשכ""א - 1961.","['סעיף 13', 'סעיף 19א']"
