text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 10, 13, 19א, 36א(א)",0.00017393859,2.8399829e-05,2.8119552e-05,9.023817e-06,0.00047292002,0.0012269901,0.0006293092,0.033324286,0.033918753,0.00018146513,0.003157584
"חוק העונשין, תשל""ז-1977: סע'  25, 29(א), 144(א), 244",0.00016071339,2.9986853e-05,2.3679075e-05,0.99998724,0.00042314653,0.0010302862,0.00047821362,0.017137453,0.070654094,0.00012408152,0.0008807392
הנאשם הורשע על פי הודאתו בעבירות הבאות:,0.00017348093,3.0668136e-05,1.9154912e-05,9.32184e-06,0.00038060592,0.00074030063,0.005834634,0.0015715822,0.5160311,9.8643846e-05,0.9995146
"2 עבירות של סחר בסמים בצוותא, לפי סעיפים 13 ו-19א לפקודת הסמים המסוכנים בצירוף סעיף 29(א) לחוק העונשין, התשל""ז-1977;",0.000143771,2.9378369e-05,3.083917e-05,0.9999876,0.00049412536,0.0009691064,0.00080876343,0.0023144952,0.016750772,0.00010662116,0.02992574
"החזקת סם שלא לצריכה עצמית, לפי סעיפים 7(א)(ג) רישא לפקודת הסמים;",0.00011352273,3.07292e-05,0.38377434,9.230114e-06,0.0004302358,0.14282314,0.0014781612,0.0053045815,0.011502228,0.00013567647,0.0030139678
"החזקת כלים להכנת סם שלא לצריכה עצמית, לפי סעיף 10 רישא לפקודת הסמים;",0.00012024443,3.1394306e-05,0.9998807,9.066994e-06,0.00041693877,0.97705543,0.006789109,0.042462967,0.009683454,0.00011860484,0.001594247
"ניסיון שיבוש מהלכי משפט, לפי סעיפים 244 ו-25 לחוק העונשין;",0.0002371767,2.9867073e-05,1.8253497e-05,0.99998784,0.00035012068,0.0008129459,0.00051118096,0.0027573446,0.033204112,9.2237824e-05,0.00059744896
"החזקת תחמושת, לפי סעיף 144(א) לחוק העונשין.",0.00021709107,3.2680444e-05,6.8243986e-05,0.9999877,0.00043434097,0.0010958822,0.00049965264,0.009578665,0.029818824,0.00011610984,0.00089571456
מהחלק הכללי של כתב האישום עולה כי הנאשם קשר קשר לפשע עם אחרים באמצעות אפליקציית טלגרם במטרה לסחור בסמים מסוג קנביס.,0.000113106275,3.0452182e-05,0.9999615,9.274885e-06,0.99884355,0.9986953,0.9984187,0.0020906962,0.009555612,0.00010793587,0.00051277643
"מהאישום הראשון עולה, כי ביום 1.3.2022 סחר הנאשם בקנביס במשקל 24.56 גרם תמורת 450 ₪ מול א""א, עמו תואמה העסקה בטלגרם, ואליה הגיע הנאשם ברכבו.",0.00015616631,3.059755e-05,0.9999646,9.01005e-06,0.9996606,0.99984455,0.99979156,0.00401698,0.0054286825,0.00025822,0.15591775
"מהאישום השני עולה, כי ביום 15.3.2022 ביצע הנאשם עסקה בנסיבות דומות ובשיטה זהה מול ג""ק, לו מכר הנאשם קנביס במשקל 23.84 גרם תמורת 800 ₪.",0.00018195322,3.037225e-05,0.9999621,9.09887e-06,0.9996959,0.9998541,0.99983037,0.0052799964,0.0069982363,0.00018718015,0.007954767
"בסמוך לאחר מכן עצרו שוטרים את הנאשם בכף, ובתגובה ניסה הנאשם להשליך את מכשיר הטלפון הסלולרי שהחזיק בידו.",0.00014740026,3.1154876e-05,0.9987287,0.9999875,0.000836529,0.05895871,0.8801063,0.032405976,0.010358646,0.00017012576,0.00048278715
"בחיפוש על גופו נמצאו 800 ₪ במזומן, ובהמשך בחיפוש ברכבו נמצאו סמים מסוג חשיש במשקל 111.17 גרם מחולק לאריזות וכ-620 גרם קנביס ארוז בעשרות אריזות.",0.0001540675,3.0680654e-05,0.999961,8.840419e-06,0.9996947,0.99986124,0.9996792,0.008817737,0.005602107,0.00018401796,0.00038911597
