text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"ב""כ המאשימה: עו""ד גב' חזן דהן",0.00016186714,3.1769814e-05,2.2004277e-05,0.9999875,0.00030437758,0.00072856125,0.00081077975,0.25428295,0.01537416,0.00014906372,0.0003253769
"ב""כ הנאשם: עו""ד יוני דדון",0.00016496867,3.1591957e-05,2.1657914e-05,0.9999875,0.00031837448,0.00070599443,0.00056701136,0.07545348,0.014389603,0.00017210405,0.0003271717
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 10, 31(6), 36א, 36א(ב)",0.00016908284,2.8254115e-05,3.0762276e-05,8.976578e-06,0.0005266568,0.0013846897,0.00068422215,0.04418143,0.03540517,0.00019839406,0.0038801208
"חוק העונשין, תשל""ז-1977: סע'  40ט(א), 40יא",0.00015917138,3.0111507e-05,2.5217916e-05,0.99998736,0.00038946295,0.0012894585,0.0005781427,0.012827976,0.09742769,0.0001269199,0.000359344
"הנאשם הורשע על פי הודייתו בעובדות שיוחסו לו בכתב האישום, בעבירות של החזקת סם מסוכן שלא כדין ושלא לצריכה עצמית לפי סעיף 7(א) + (ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג - 1973 (להלן: ""פקודת הסמים""), והחזקת כלים המשמשים להכנת סם מסוכן או לצריכתו שלא כדין ושלא לצריכה עצמית לפי סעיף 10 רישא לפקודת הסמים.",0.00012830735,3.1605607e-05,0.9999355,9.138786e-06,0.45016542,0.9865171,0.59765214,0.041294113,0.052396785,0.00018074867,0.9998223
"בעובדות כתב האישום נאמר כי ביום 3.8.14, סמוך לשעה 9:00, נערך חיפוש משטרתי בביתו של הנאשם בנהריה, מכח צו שניתן על ידי בית משפט השלום בקריות.",0.0001275857,3.0809842e-05,0.99931085,0.99998784,0.0008038148,0.00803965,0.0070535913,0.02306449,0.009065937,0.0001650324,0.0014498305
"במהלך החיפוש בבית, נתפס תיק ובתוכו סמים מסוכנים כדלקמן:  נטו של סם מסוכן מסוג קוקאין,  נטו של סם מסוכן מסוג MDMA, 19 טבליות המכילות סם מסוכן מסוג MDMA, ו-  נטו של סם מסוכן מסוג חשיש.",0.00014643896,3.089528e-05,0.999961,9.553179e-06,0.99970645,0.9998715,0.9992848,0.06300191,0.011898669,0.00020710201,0.0015916616
"עוד נתפסו במהלך החיפוש בבית מאזניים אלקטרוניים ושקיות ניילון, אשר משמשים ככלים לצריכת סמים או לשימוש בהם.",0.00019205805,3.209908e-05,0.99995553,9.283114e-06,0.9229204,0.99954164,0.9981036,0.9482325,0.0095182,0.00015824928,0.0003080011
"הנאשם החזיק בסמים המסוכנים ובכלים אלו ללא היתר כדין להחזקתם, ושלא לשימושו וצריכתו העצמית בלבד.",0.00013081421,3.3334203e-05,0.9999591,9.297814e-06,0.07994364,0.0011090952,0.998877,0.10206915,0.009414786,0.00017619458,0.00089735823
"תחילה כפר הנאשם במיוחס לו, אך בטרם החלה שמיעת הראיות, הודיעו הצדדים כי הגיעו להסדר טיעון, אשר לא כלל הסכמה לעניין העונש, במסגרתו יחזור בו הנאשם מכפירתו, יודה בכתב האישום ויורשע.",0.0001989231,3.0731782e-05,4.368402e-05,9.649415e-05,0.000812345,0.0011114299,0.003657896,0.0010893018,0.38098887,0.00028554216,0.99985325
"כן הודיעו הצדדים כי הגיעו להסכמה ביחס לעובדה כי הסם המסוכן מסוג קוקאין המצוין בכתב האישום היה מעורב בחומרים נוספים, כאשר לא ידוע מה היה ריכוז הסם בחומר הכולל.",0.000116679104,3.1087857e-05,0.99995613,9.672528e-06,0.9996462,0.999828,0.99958485,0.012400762,0.007694358,0.00018366087,0.0025176927
לנאשם הותר לחזור בו מכפירתו והוא הודה בעובדות כתב האישום והורשע בעבירות כמפורט לעיל.,0.000117394025,3.0470599e-05,9.1194794e-05,9.0950525e-06,0.00044190118,0.0008666472,0.87551045,0.00084235094,0.9439533,0.008378339,0.9998148
ראיות הצדדים לעניין העונש,0.00028814675,3.0977768e-05,2.3897835e-05,0.999987,0.0003061552,0.0007041153,0.0009785878,0.0044818246,0.0256204,0.00015706141,0.00031083685
"במסגרת הראיות לעונש מטעם הנאשם העידה אחותו, הגב' ז'קלין אבקסיס שציינה כי הנאשם מגיע ממשפחה הרוסה, ואיבד את אימו ואחותו.",0.00018744428,0.9999962,2.5784779e-05,9.086313e-06,0.00042814843,0.0010564765,0.0013520342,0.05067596,0.038774602,0.00029919358,0.16599417
"לדבריה, הנאשם אדם טוב אשר לא ידע להתמודד עם הרקע ממנו הגיע ולכן הוא בורח מהמציאות ומזיק לעצמו ולאחרים.",0.00012504707,0.99999607,3.254798e-05,9.02479e-06,0.00045103562,0.0012168979,0.003296175,0.036318436,0.49118474,0.0011318416,0.0006076869
"למרבה הצער, ניסיונות גמילתו מסמים נכשלו.",0.00014862306,0.9999945,1.8342684e-05,9.14508e-06,0.0004288678,0.000861755,0.0005435513,0.027269747,0.033957794,0.00019090142,0.00037634536
"האחות הביעה כאבה על בנו, הנמצא אצלה יחד עם אימו, ללא אביו, וגילתה רצונה לסייע לאחיה בכל מאודה.",0.00019891874,0.99999523,3.8760518e-05,9.769311e-06,0.00049972435,0.0010803898,0.0028103483,0.7420767,0.28665176,0.0008203869,0.0014873616
"בפתח טיעוניה ציינה המאשימה כי אף שהוסכם כי סם הקוקאין שנמצא היה מעורב בחומר אחר בכמות בלתי ידועה, אין בכך כדי להוות שיקול לקולא.",0.0001145536,3.1211435e-05,0.9999429,9.606715e-06,0.99901974,0.9961909,0.97552377,0.009300377,0.021629808,0.00015845193,0.029562509
"זאת, כיוון שהנאשם הורשע בהחזקת סם שלא לצריכתו העצמית, ואין חשיבות לכמות החומר בו עורבב הסם.",0.00012448244,3.3083037e-05,0.99995434,9.069113e-06,0.9992322,0.99915683,0.9997241,0.006905453,0.008423183,0.00016314392,0.17449744
צוין כי העונש המירבי הקבוע בחוק לצדה של העבירה בה הורשע הנאשם הנו 20 שנות מאסר.,0.00013752737,3.128886e-05,1.9910802e-05,0.9999871,0.0004211202,0.0008864137,0.0007214957,0.0012066736,0.026943311,8.51423e-05,0.0005463473
"נטען כי מדובר בעבירות הפוגעות בערכים חברתיים ובהם הזכות לחיים ולחירות ושלום הציבור בכללותו, שכן השימוש בסמים מסוכנים גורר אחריו עבירות נלוות.",0.00013273161,3.3281416e-05,4.347767e-05,0.99998724,0.0006256051,0.0009881218,0.0014934785,0.026736567,0.14346692,0.00020673111,0.00043508073
"ביחס לנסיבות ביצוע העבירות, הפנתה המאשימה לכמות הסם הגדולה שנתפסה, ובייחוד לשילוב בין מספר רב של סמים שונים, כמו גם החזקתם יחד עם כלים להכנת סמים.",0.00012377769,3.1068324e-05,0.999962,9.306304e-06,0.9993987,0.9997861,0.9997789,0.025098797,0.01161266,0.000196703,0.0009944936
"אלה מצביעים על כך שמדובר במעבדת סמים, שנועדה למטרות עסקיות, ושעשויה היתה לפגוע באנשים רבים אלמלא התגלתה.",0.00015551275,3.156783e-05,0.99995434,9.267917e-06,0.17680599,0.083864264,0.9982559,0.9623412,0.013682972,0.00023540725,0.0008933223
"לגישת המאשימה, הנאשם הינו איש מקצוע מיומן העוסק בתחום זה שלא באופן חד פעמי.",9.8695884e-05,0.9999956,3.1992426e-05,9.117684e-06,0.00042346088,0.0008617222,0.035559416,0.16406451,0.0059287697,0.00013986342,0.00023393967
"נוכח כל אלה, עתרה המאשימה למתחם ענישה הנע בין 3 ל-5 שנות מאסר בפועל.",0.00012715442,2.9851897e-05,1.7333428e-05,0.99998784,0.00047789144,0.0010061432,0.00031674147,0.0013141119,0.008411387,9.679274e-05,0.0005961231
"בתמיכה למתחם לו טענה, הפנתה המאשימה לפסק דין שניתן לאחרונה בבית המשפט העליון, בגדרו אושר מתחם ענישה הנע בין 4 ל-7 שנות מאסר בגין עבירות של החזקת והשבחת קוקאין.",0.00014867223,3.1654406e-05,0.017658554,0.99998415,0.68965113,0.0013223151,0.008027501,0.0025629618,0.009488469,0.00010599003,0.0015999235
"באשר לנסיבות שאינן קשורות לעבירה, טענה המאשימה כי עברו המכביד של הנאשם פועל לחובתו.",0.00011127852,0.9999949,1.8453642e-05,0.99996054,0.00041612756,0.00088102714,0.001541891,0.0016646365,0.16412966,0.00020647542,0.39555684
"הודגש כי המאסרים אותם ריצה בעבר, מהאחרון שבהם שוחרר אך לפני כשנה, כמו גם המאסר המותנה התלוי ועומד לחובתו, לא הרתיעוהו מביצוע עבירות נוספות.",0.00015801576,0.99999595,2.5652604e-05,9.127053e-06,0.00070067804,0.0013009098,0.0008866435,0.0023106413,0.015257876,0.00019398957,0.92612994
