feature_key,text,extraction
GENERAL_CIRCUM,"הנאשם הוא תושב הרשות הפלסטינית, נשר ממסגרת לימודית לאחר 7 שנות לימוד על רקע מצב כלכלי קשה ובעיות רפואיות של אביו.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,לאחר נשירתו מבית הספר עבד בשוק מחנה יהודה וסייע בפרנסת המשפחה.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"בגיל 17 שנים, חבר הנאשם לקבוצת צעירים אשר ניהלה אורח חיים שולי והחל להשתמש בסמים עד להתמכרותו להרואין.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,בשנת 1989 נישא ונולדו לו שלושה ילדים וכיום שתיים מבנותיו נשואות ומנהלות משק בית עצמאי.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,בשנת 2002 התגרש ואין לו קשר עם גרושתו וילדיו.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"מחקירה קודמת עלה כי לאחר גירושיו עבר להתגורר בירושלים, ללא אישור שהייה חוקי.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"בשנת 2007 התחתן בשנית ונולד לו בן, ובשנת 2010 התגרש בשל התמכרותו לסמים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,בנו כיום בן 9 שנים ולנאשם אין קשר עם גרושתו ובנו והוא אינו מודע למקום מגוריהם.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']"
GENERAL_CIRCUM,"הנאשם מסר כי אביו בן 80 שנה, סבל לאורך השנים מבעיות רפואיות שונות והתקשה לפרנס את המשפחה, אמו נפטרה בשנת 2014.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,בני משפחת מוצאו אינם בקשר עמו נוכח מצבו ההתמכרותי ואורח חייו העברייני.,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,הנאשם מסר כי אין לו בית והוא נטה להסתובב באזור ירושלים ותיאר מציאות חיים קשה נעדרת מערכות תמיכה כלשהם.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"בשל העובדה שהנאשם הוא תושב הרשות הפלסטינית, לא היה בידי שירות המבחן להשיג את רישומו הפלילי, אולם הוא מסר כי לאורך השנים ריצה מספר מאסרים בשל עבירות שונות.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']"
