,verdict,text,part
0,SH-20-04-27126-218,לפני:				כבוד השופט גיא אבנון,בית משפט השלום בנתניה
1,SH-20-04-27126-218,באמצעות תביעות מרכז – שלוחת נתניה,בית משפט השלום בנתניה
2,SH-20-04-27126-218,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973","בשם הנאשם:			עו""ד שי לוי"
3,SH-20-04-27126-218,"הנאשם הורשע בהתאם להודאתו בכתב אישום מתוקן בשנית בעבירות החזקת סמים לצריכה עצמית, לפי סעיפים 7(א) ו-7(ג) סיפא לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: פקודת הסמים); גידול ייצור והכנת סמים מסוכנים, לפי סעיף 6 לפקודת הסמים.","בשם הנאשם:			עו""ד שי לוי"
4,SH-20-04-27126-218,"מכתב האישום עולה כי ביום 11.7.19 החזיק הנאשם בביתו ולצריכתו העצמית סמים מסוג קנאביס במשקל כ-128 גרם, וגידל 10 ייחורים מסוג קנאביס במשקל 3.78 גרם.","בשם הנאשם:			עו""ד שי לוי"
5,SH-20-04-27126-218,"בדיון מיום 25.1.22 עתרו הצדדים במשותף להשית על הנאשם 300 שעות שירות לתועלת הציבור, מאסר על-תנאי, קנס ופסילת רישיון הנהיגה בפועל ועל תנאי.","בשם הנאשם:			עו""ד שי לוי"
6,SH-20-04-27126-218,המחלוקת שנותרה נגעה לגובה הקנס ולמשך הפסילה.,"בשם הנאשם:			עו""ד שי לוי"
7,SH-20-04-27126-218,"זה המקום לציין כי עובר לדיון התקבל תסקיר מבחן אשר ניתן על בסיס כתב האישום הקודם, בו יוחסה לנאשם עבירת החזקת סמים שלא לצריכה עצמית.","בשם הנאשם:			עו""ד שי לוי"
8,SH-20-04-27126-218,בתחילת הדיון טענו הצדדים לעונש באופן חופשי.,"בשם הנאשם:			עו""ד שי לוי"
9,SH-20-04-27126-218,"לקראת תום הדיון, ולאחר שנשמעו הערות בית המשפט, הגיעו הצדדים להסדר כמפורט לעיל.","בשם הנאשם:			עו""ד שי לוי"
10,SH-20-04-27126-218,"אוסיף כי ברקע להסדר, עברו הפלילי הרלוונטי של הנאשם אשר התמתן בעת האחרונה, שיתוף פעולה מסוים עם שירות המבחן, רישיון לצריכת קנאביס שניתן לנאשם זמן קצר לאחר מועד ביצוע העבירה, ועמדת שירות המבחן אשר לא בא אמנם בהמלצה שיקומית, אך הציג הערכת מסוכנות פחותה שנלקחה בחשבון על ידי הצדדים.","בשם הנאשם:			עו""ד שי לוי"
11,SH-20-04-27126-218,"בתום הדיון הופנה הנאשם לקבלת תסקיר משלים, אשר הוגש ביום 10.4.22, ובמסגרתו נבנתה תוכנית של""צ.","בשם הנאשם:			עו""ד שי לוי"
