text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע על בסיס הודאתו בעובדות כתב אישום מתוקן ובמסגרת הסכמה דיונית, בעבירה של החזקת סמים שלא לצריכה עצמית לפי סעיף 7(א) + 7(ג) רישא לפקודת הסמים המסוכנים (נוסח חדש) תשל""ג-1973.",,,,,,,,,,,['כן'],,,
"בהתאם לעובדות כתב האישום המתוקן, ביום 10.06.19 החזיק הנאשם בחדרו סם מסוכן מסוג קוקאין במשקל כולל של 9.7449 גרם נטו.",,,,,['[קוקאין]'],['[9.7449 - גרם]'],['[בעל הסמים]'],,,,,,,
"מתסקיר שירות המבחן מיום 1.1.23, עולה כי הנאשם בן 24 בעל עבר פלילי בעבירת סחיטה באיומים במסגרתה נידון לעונש מאסר בפועל שירוצה בעבודות שירות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,
"בעבר, הנאשם השתלב בקבוצה טיפולית באופן עקבי, ולאחר מכן חלה התרופפות במידת המוטיבציה שלו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם אינו תופס עצמו כמכור לסמים, ושולל כל טיפול בתחום זה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עוד עולה כי  הנאשם מסר 3 בדיקות שתן שנמצאו עם שרידי סם מסוג קנאביס, ואחת מהן אף עם סם מסוג קוקאין, ומתקשה לשתף פעולה עם שירות המבחן.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,"['[קוקאין], [קנביס]']",,,,,,,,,
"3 בדיקות שתן שמסר לשירות המבחן נמצאו עם שרידי סם קנאביס, זאת לאור רישיון לשימוש, שהציג הנאשם בפני שירות המבחן.",,,,,,,,,,,,,,
"בנוסף, הנאשם ביטא רצון ומוטיבציה להשתלב בטיפול בתחום הגמילה מסמים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"לאור גילו הצעיר והרצון שמבטא, שירות המבחן ראה חשיבות לבחון ענישה שיקומית, ובהתאם לכך המליץ על דחיית הדיון ב-3 חודשים לצורך שילובו בהליך טיפולי ביחידה לטיפול בהתמכרויות.",,,,,,,,,,,,,,
"מתסקיר שירות המבחן מיום 3.7.23, עולה כי בתקופת הדחייה הנאשם שולב ביחידה לטיפול בהתמכרויות, לאחר שתהליך קליטתו התעכב משום שמחזיק ברישיון רפואי לשימוש בקנאביס.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"שירות המבחן מסר כי הנאשם השקיע מאמצים רבים והביע רצון ומוטיבציה לניהול אורח חיים נורמטיבי, ביטא חרטה  ונמנע משימוש בסמים פרט לקנאביס הרפואי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"מתסקיר שירות המבחן מיום 2.11.23, עולה כי בתקופת הדחייה הנאשם נכח באופן מלא במפגשים במסגרת היחידה לנפגעי סמים, ביטא מוטיבציה לעבוד על דרכי התמודדותו בסיטואציות שונות, לנהל אורח חיים נורמטיבי ללא מעורבות פלילית וכן חרטה על מעשיו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"כמו כן, הנאשם נמנע כיום משימוש בסמים נוספים פרט לסם הקנאביס אותו צורך באישור רפואי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בדיקות השתן שמסר הנאשם נמצאו נקיות משרידי סמים, פרט לסם הקנאביס כאמור.",,,,,,,,,,,,,,
"כמו כן, לאור מצבו כיום הופסק הטיפול בו השתלב, ולמרות זאת הנאשם ממשיך ומשתף פעולה עם שירות המבחן וגורמי הטיפול ביחידה וכן מבטא הבנה לצורכו בהשתלבות בטיפול.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"מתסקיר מיום 17.4.24, עולה כי בתקופת הדחיה הנאשם חזר לקשר עם היחידה לטיפול בנפגעי סמים וסוכם עמו כי עליו להשתלב תחילה במעקב של בדיקות שתן ובהמשך עליו להיות משולב בשיחות פרטניות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"הנאשם התקשה להתמיד בהגעה לבדיקות שתן, אולם לאחר שיחה עמו התברר כי אמו אובחנה כחולת סרטן והוא ליווה אותה לטיפולים.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם הביע רצון ונכונות להשתלב בטיפול ולשתף פעולה ופנה לגורמי הטיפול ביחידה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"מתסקיר אחרון שהוגש ביום 10.7.24, עולה כי לאחר שהובהרה לנאשם החשיבות בהתמדה וקשר עם היחידה לטיפול בהתמכרויות, החל לקיים מפגשים פרטניים עם עו""ס היחידה ומסר בדיקות שנמצאו נקיות משרידי סמים, למעט סם הקנאביס, אשר בו הוא מורשה להשתמש.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עדיין מדובר בקשר ראשוני, מאופיין בקושי במתן אמון וקושי בהתמדה להגעה למפגשים ולבדיקות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
שירות המבחן ציין שבשיחה עם הנאשם תלה את הקושי בבריאותה של אמו וחוסר הפניות שלו בשל כך.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בסופו של תסקיר המליץ שירות המבחן על ענישה שיקומית לאור רצונו של הנאשם לשנות את דפוסיו הבעייתיים והרצון לשתף פעולה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"ב""כ המאשימה, עמדה על נסיבות כתב האישום שהינן חמורות- החזקת סם מסוג קוקאין במשקל של למעלה מ- 9.7 גרם, על מאפייניו של הסם.",,,,,"['הסוג הוא [קוקאין], כפי שמצוין בטקסט: ""החזקת סם מסוג קוקאין במשקל של למעלה מ- 9.7 גרם, על מאפייניו של הסם.""']",['[9.7 - גרם]'],"['[בעל הסמים, לא בעל המעבדה]']",,,,,,,
"ב""כ הנאשם, עמדה על תקופת הזמן הארוכה שחלפה, שבה לא נפתחו תיקים נגד הנאשם, על ההליך הטיפולי שעובר מזה זמן רב ועל אף שלעיתים יש נסיגה בגין נסיבות משפחתיות, בסך הכול עובר תהליך זה מתוך רצון והבנה שהוא זקוק לו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"בנוסף ציינה שהוא טרוד כל כולו בחייו האישיים ויקשה עליו עד מאוד לבצע עונש אחר, כגון בדמות עבודות שירות.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הרחיב לגבי נסיבותיו האישיות ומחלת האם אשר דורשת ממנו זמן רב וטיפול אינטנסיבי בה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
לטעמו מבצע את כל אשר נדרש ומשתף פעולה מלאה עם שירות המבחן.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עוד קודם מתן גזר הדין ביקש הנאשם להוסיף כי על אף שיש לו שני אחים נוספים (כך ענה לשאלת בית המשפט), הרי ששני אחיו אינם מעורבים בטיפול באם והם ""נטלו צד"" של האב.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
עוד ציין כי היום הודיעה לו האם שהיא צריכה לקבל טיפול כימותרפי פעם בשבוע.,,,,,,,,,,,,,,
"במקרה זה הנאשם החזיק בסם 'קשה', בעל מאפיינים התמכרותיים ופוגעניים כפי שמתואר לעיל, במשקל גבוה ובתוך חדר ביתו, כך שהפגיעה בערך המוגן הינה ברף הבינוני-גבוה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם יליד 1997, צעיר, שזו לו הרשעתו הראשונה בעבירה מסוג זה, אולם הורשע בעבירה חמורה לא פחות מתחום האלימות- סחיטה באיומים, בגינה ריצה 8 חודשי מאסר בעבודות שירות.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"במקרה דנן, אמנם הנאשם הלך לשירות המבחן במשך זמן לא מבוטל ואף שולב בטיפול כלשהו ביחידה להתמכרויות, אך אינני יכולה להתעלם מתוכן הטיפול והעובדה שהנאשם, כך על פי תוכן התסקירים, אינו פנוי לטיפול באופן מלא ולאחר תקופה של כ- 3 שנים, עדיין מתקשה בשיתוף פעולה ובמתן בדיקות לגילוי סם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
מאידך מצאתי ליטול בחשבון את הודאתו והעובדה שלא נפתחו לו תיקים מתחום הסמים.,,,,,,,,,,,,,,
"לעניין נסיבותיו האישיות של הנאשם שמעתי כי הוא סועד את אמו החולה ומתעתד לחיות חיים נורמטיביים ואף לשאת לאישה את חברתו, אולם כעת מצוי בקשיים כלכליים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
