text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"ב""כ המאשימה: עו""ד לינור מיימון",0.0001854279,3.1426716e-05,2.5089153e-05,0.9999875,0.00032671224,0.00090929767,0.00078216364,0.276149,0.025202272,0.00018221,0.00036124274
"ב""כ הנאשם: עו""ד נרמין אבו ליל ממשרד עו""ד אמיר נאטור",0.00012851378,3.1561147e-05,2.194834e-05,0.9999871,0.00033006712,0.0009571288,0.00047386516,0.12736577,0.010961717,0.00010733012,0.0006397625
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), 7(ג)",0.00011891728,2.8738617e-05,2.2704724e-05,0.9999876,0.00039822675,0.0008874477,0.0004960066,0.035571646,0.038448986,0.00012302403,0.0014121052
"הנאשם הורשע על בסיס הודאתו בעובדות כתב אישום מתוקן ובמסגרת הסכמה דיונית, בעבירה של החזקת סמים שלא לצריכה עצמית לפי סעיף 7(א) + 7(ג) רישא לפקודת הסמים המסוכנים (נוסח חדש) תשל""ג-1973.",0.0001290844,3.08337e-05,0.8146434,8.931856e-06,0.0009459903,0.0012504762,0.035817806,0.0026999768,0.032162398,0.00014580209,0.9998466
"בהתאם לעובדות כתב האישום המתוקן, ביום 10.06.19 החזיק הנאשם בחדרו סם מסוכן מסוג קוקאין במשקל כולל של 9.7449 גרם נטו.",0.000119888144,3.0084615e-05,0.9999647,8.946673e-06,0.9996723,0.9998698,0.99970466,0.003437864,0.005390069,0.0001483488,0.008851166
"בהתאם להסכמת הצדדים, עניינו של הנאשם הופנה לשירות המבחן לצורך קבלת תסקיר, כאשר עמדת המאשימה למאסר בפועל וענישה נלווית.",0.00012697969,3.0597963e-05,1.7235448e-05,0.9999871,0.0004913508,0.00093774294,0.00032907177,0.0012282758,0.006102989,0.00010466917,0.36493817
"מתסקיר שירות המבחן מיום 1.1.23, עולה כי הנאשם בן 24 בעל עבר פלילי בעבירת סחיטה באיומים במסגרתה נידון לעונש מאסר בפועל שירוצה בעבודות שירות.",0.0002101897,0.9999964,1.7507433e-05,8.931344e-06,0.00055589597,0.0008724536,0.00074223796,0.0014710061,0.008597646,0.00011093334,0.5786189
"בעבר, הנאשם השתלב בקבוצה טיפולית באופן עקבי, ולאחר מכן חלה התרופפות במידת המוטיבציה שלו.",0.00010755306,0.9999963,1.9047837e-05,8.965224e-06,0.0004194359,0.00085996685,0.0004522587,0.016026523,0.0067674723,0.0001730433,0.00029380643
"הנאשם אינו תופס עצמו כמכור לסמים, ושולל כל טיפול בתחום זה.",0.00010668666,0.99999607,2.200988e-05,9.099373e-06,0.0005501987,0.00094797165,0.0008401833,0.0044287983,0.057167817,0.00029328812,0.00043118297
"עוד עולה כי  הנאשם מסר 3 בדיקות שתן שנמצאו עם שרידי סם מסוג קנאביס, ואחת מהן אף עם סם מסוג קוקאין, ומתקשה לשתף פעולה עם שירות המבחן.",0.00012059316,0.9999963,0.99994636,8.869807e-06,0.9996183,0.99978095,0.99513054,0.003249409,0.0059939567,0.00032097322,0.06369913
