text,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIR_PUNISHMENT
"* בית המשפט ביטל את הרשעת הנאשם, ההליך הסתיים באי הרשעה, תוך קביעה שהנאשם ביצע עבירה של החזקה/שימוש בסמים שלא לצריכה עצמית, ועבירה של ניסיון יבוא/יצוא/מסחר/הספקת סמים, והשית על הנאשם צו שירות לתועלת הציבור בהיקף של 300 שעות, צו מבחן לשנה והתחייבות.",[],[],[],,,,,,,,,,,
"הנאשם הורשע על פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן בעבירות של החזקה/שימוש בסמים שלא לצריכה עצמית, ועבירה של ניסיון יבוא/יצוא/מסחר/הספקת סמים.",,,,,,,,,,,,,['כן'],
הנאשם החזיק שקית בתוכה 133.54 גרם נטו קנבוס וניסה למכור 10 גרם מסם זה.,,,,,,,['קנביס (קנביס)'],['[133.54 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,
"באותן הנסיבות, החזיק הנאשם בין רגליו שקית ובתוכה 133.54 גרם נטו סם מסוכן מסוג קנבוס.",,,,,,,['קנביס (קנבוס)'],['[133.54 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,
"בנסיבות המתוארות, ניסה הנאשם למכור לישי 10 גרם סם מסוכן מסוג קנבוס בתמורה ל-500 ₪.",,,,,,,['קנביס (קנבוס)'],['[10 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,
"אמו של הנאשם, הגב' עדי בן אבו, סיפרה על הקשיים אותם חווה הנאשם מילדותו.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"לדבריה, הנאשם למד את הלקח והוא היום מצוי במקום אחר לגמרי.",,,,,,,,,,,,,,
מסמכים של טיפולי הנאשם בקופת החולים.,,,,,,,,,,,,,,
"בתסקיר מיום 23.5.2023, תואר הנאשם כבן 26, רווק, מתגורר בדירת שותפים בראשון לציון ועובד כעצמאי בתחום מסחר ושוק ההון.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
הנאשם סיים 12 שנות לימוד עם תעודת בגרות מלאה במגמה טכנולוגית.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"אביו של הנאשם נפטר לפני כ-3 שנים, לאחר מאבק במחלת קשה.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"הנאשם שירת שירות מלא בחיל האוויר, אותו השלים לאחר חצי שנה של הפסקה עקב מחלת  אביו.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"הנאשם מסר כי עול הטיפול באביו הוטל עליו, ולאחר פטירת אביו פנה לקב""ן (הוצג מסמך) בשל הפרעות אכילה, קשיי שינה, מצב רוח ירוד, מתח ולחץ.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"בסיום שירותו הצבאי, עבר הנאשם להתגורר בדירת שותפים, ופתח עסק המתמחה בייעוץ בתחומי מסחר ושוק ההון.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
