feature_key,text,extraction
GENERAL_CIRCUM,"הצדדים הציגו טיעונים לעניין העונש, כמפורט בפרוטוקול והנאשם עצמו אמר כי הוא מודע למעשיו, אך נמצא בהליכי שיקום, סובל ממחלה קשה, אב לילדה בת שנתיים ויודע כי הכלא יכול להרתיע אותו, אך גם להכניסו לדיכאון.","['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"בנסיבות המקרה, נהג הנאשם כאשר עונש מאסר מותנה בן  10 חודשים תלוי ועומד כנגדו וגם בכך, לא היה כדי להרתיעו מלשוב ולנהוג ברכב, שלא הוכשר לנהיגתו, כאשר הוא שיכור.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"הנאשם נדון ביום 24.7.13, בגין עבירות חמורות של נהיגה כבלתי מורשה לנהיגה ובשכרות, ריצה עונש מאסר למשך חודש ויום, נדון למאסר מותנה בן 10 חודשים ולמרות זאת, שב ונהג ברכב, בנסיבות דומות וחמורות יותר ונראה, כי לא הפנים את חומרת מעשיו.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']"
GENERAL_CIRCUM,"לחובת הנאשם 2 הרשעות קודמות בתעבורה וכן, רישומים פליליים, האחרון משנת 2009 ועניינו, עבירות על פקודת הסמים המסוכנים, בגינו ריצה עונש מאסר בן 4 חודשים.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']"
GENERAL_CIRCUM,"הסנגור הציג בפני בית המשפט את נסיבותיו האישיות של הנאשם, לרבות מצבו הרפואי והמחלה ממנה הוא סובל, אך לא תיתכן מחלוקת כי יהא מצבו הרפואי של הנאשם אשר יהא, בית המשפט מצווה ליתן קדימות לאינטרס הציבורי המחייב ענישה מוחשית ומרתיעה.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
RESPO,"מאידך, הודה הנאשם בהזדמנות הראשונה כמעט ונטל אחריות למיוחס לו בכתב האישום שבנדון.",['כן']
CONFESSION,"ביום 22.11.15, הודה הנאשם במיוחס לו והצדדים הציגו הסדר מסגרת לעניין העונש, כאשר לעניין המאסר, סוכם כי המאשימה תטען ל-12 חודשי מאסר בפועל, תוך הפעלת עונש מאסר מותנה בן 10 חודשים התלוי ועומד כנגד הנאשם, בעוד שהסנגור יוכל לטעון לעונש של 10 חודשי מאסר, תוך הפעלת עונש המאסר המותנה האמור וכן, עתרו הצדדים במשותף, לפסילה מלקבל או להוציא רישיון נהיגה, למשך 36 חודשים, 12 חודשי מאסר מותנה למשך 3 שנים וקנס כספי משמעותי, חלף התחייבות כספית בסך 20000 ₪, משהתברר כי הנאשם לא חתם על ההתחייבות ולא ניתן להפעילה.",['כן']
CONFESSION,"מאידך, הודה הנאשם בהזדמנות הראשונה כמעט ונטל אחריות למיוחס לו בכתב האישום שבנדון.",['לא']
PUNISHMENT_SUSPENDED,"בחופף לתקופת מאסר זו, מורה על הפעלת עונש המאסר המותנה מתיק 3146-07-13 גזר דין מיום 24.7.13, בית המשפט לתעבורה בתל אביב, למשך 10 חודשים.",['הנאשם קיבל 10 חודשי מאסר על תנאי']
PUNISHMENT_SUSPENDED,אני דנה את הנאשם ל-12 חודשי מאסר וזאת על תנאי למשך 3 שנים.,['12 חודשי מאסר על תנאי']
PUNISHMENT_FINE,קנס כספי בסך 10000 ₪ או 10 ימי מאסר תמורתם.,"['10,000 ₪']"
