text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"פקודת התעבורה [נוסח חדש]: סע'  בתוספת הראשונה, והשנייה, 38(3), 39א, 40, 62(2), 62(3), 62(7), 64א, 64א(א))., 64א(ב), 64א(ג)), 64א1",,,,,,,,,,,,,,
"תקנות התעבורה, תשכ""א-1961 - לא מרובדות: סע'  26 (2), 144, 169א, ב",,,,,,,,,,,,,,
"נאשם 1 הורשע לאחר שמיעת ראיות בעבירות של הפקרה אחרי פגיעה, נהיגה בקלות ראש וגרימת חבלה של ממש וכן נהיגה בשכרות - עבירות לפי סעיפים 64א(ב), 62(2), 38(3) ו-62(3) לפקודת התעבורה[נוסח חדש], תשכ""א - 1961 (להלן -פקודת התעבורה) יחד עם תקנות 169א ו-ב לתקנות התעבורה, תשכ""א - 1961.",,,,,,,,,,,,,,
"כעבור כמה שעות, ביום 13.07.18 בסמוך לשעה 00:25, נהג נאשם 1 ברכב המזדה, בכביש 40 מצפון לדרום, בנתיב השמאלי מבין שני נתיבים, כאשר בדמו אלכוהול בריכוז של 134 מ""ג במאה מיליליטר דם.",,,,,,"['[134 - מ""ג]']",,,,,,,,
"ב""כ המאשימה בטיעוניה עמדה על עברו הפלילי והתעבורתי של נאשם 1 (ת/45, ת/46) – לחובתו 10 הרשעות קודמות בתעבורה, כאשר 3 האחרונות בגין עבירות שעבר לאחר האירוע – אי ציות לרמזור אדום, שימוש אסור בטלפון בזמן נהיגה, סטייה מנתיב.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,
המאשימה ציינה עוד כי נאשם 1 עד היום לא לקח אחריות  על מעשיו ולא הביע חרטה.,,,,,,,,,['לא'],['לא'],,,,
"לטענתו, בתקופה שחלפה, נסיבות חייו האישיות של נאשם 1 השתנו – כיום הוא בן  30 (גילו הנכון להיום 32 – הערה שלי ש.ש.), התחתן, נולדו לו ילדים והוא עובד באופן מסודר בשתי עבודות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
האירוע דנן התרחש לפני כמעט 5 שנים ובתקופה זו נאשם 1 לא הורשע בעבירות בתחום הפלילי.,,,,,,,,,,,,,,
"במועד האירוע היה נאשם 1 בן  25 (בן 28 – הערה שלי ש.ש.),  והתנהלותו בגיל זה אינה דומה להתנהלותו היום, מבחינת הפנמה, בגרות, נסיבות חייו ומצבו המשפחתי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"ב""כ הנאשם עמד על עברו של נאשם 1 שאינו מחמיר לגישתו.",,,,,,,,,,,,,,
"עוד טען כי הנאשמים שיתפו פעולה באופן מלא בחקירות במשטרה ובבית המשפט, שעה שהתייצבו לכל הדיונים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : כן', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
