,verdict,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,CONFESSION_LVL2-predicted,CIR_TYPE_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_HELD_WAY_WEP-predicted,REGRET-predicted,RESPO-predicted,CIR_USE-predicted,CIR_STATUS_WEP-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted
0,ME-10-08-17917-313,"ב""כ המאשימה – עו""ד טל עופר",,0.9996417672394868,,,,,,,,,,,,,,,,,
1,ME-10-08-17917-313,"ב""כ הנאשם – עו""ד אמר",,0.9995514137600559,,,,,,,,,,,,,,,,,
2,ME-10-08-17917-313,הנאשם הורשע בעבירות של החזקת נשק  והחזקת סם מסוכן לצריכה עצמית.,,0.9979921766943384,,,,,,,,,,,,,,,,,
3,ME-10-08-17917-313,על פי עובדות כתב האישום:,,0.9997008953080242,,,,,,,,,,,,,,,,,
4,ME-10-08-17917-313,"באישום הראשון – בחודש יולי 2010 קיבל הנאשם מאחר אקדח עט ושלושה כדורים בקוטר  התואמים לאקדח החביאו במחסן ביתו ובין התאריכים 23.7.10 עד 24.7.10 הוא הובילו ממקום מחבואו ונסע לעתלית עם בני משפחתו, חזר לביתו ושב והחביאו במחסן.",,0.0013592550039089233,9.767635548501113e-05,4.966164210807189e-08,0.9999019207654011,1.853690081102492e-05,,0.9998451514204985,1.3121708248222277e-05,1.301754300294538e-05,1.5895239076897757e-05,0.9995805196710953,,,0.00025081443779307716,0.9942755761421124,0.9976402245027558,6.275680274118224e-05,6.275680274118224e-05
5,ME-10-08-17917-313,"באישום השני – בחודש יולי 2010 קיבל הנאשם מאותו אחר  סם מסוכן נסוג קנבוס, תמורתו שילם 150 ₪.",,0.0009668034870242194,0.00043719037318041675,4.014765249141441e-08,0.9997601208336372,1.874523432056507e-05,,1.1950939449075882e-05,1.0992136438260798e-05,1.1000639155825046e-05,0.004418711956174052,1.1770948086422323e-05,,,7.263339194687522e-05,8.04121503053879e-05,0.9974735824093262,6.129150686911597e-05,6.129150686911597e-05
6,ME-10-08-17917-313,בחיפוש בבית הנאשם נתפס הסם.,,0.9811097701425178,,,,,,,,,,,,,,,,,
7,ME-10-08-17917-313,"גם במועד אחר, שקדם למועד זה סופק לנאשם סם מסוג קנבוס לשימוש עצמי.",,0.9987510623529489,,,,,,,,,,,,,,,,,
8,ME-10-08-17917-313,הנאשם הודה בעובדות כתב האישום (בשני האישומים) ובעבירות שיוחסו לו שם.,,0.002192846544484755,0.00045886548721853237,4.394894749481524e-08,0.0019023740814359535,0.9997123308264281,0.9996721191553003,,,,,,1.148855529054799e-05,1.233440782530919e-05,,,,,
9,ME-10-08-17917-313,הנאשם יליד 1967 וזו לו הסתבכותו הראשונה בפלילים.,,0.0023548077894265415,0.0003740997710826328,0.9998562406861926,0.0019070611597828758,2.143021432449324e-05,,,,,,,,,,,,,
10,ME-10-08-17917-313,"מטעם הנאשם העידו הן גרושתו והן רעייתו הנוכחית, כי הנאשם הוא אב למופת, הקשור מאד לילדיו וכי הוא מתחרט על מעשיו ואינו יודע כיצד הגיע לכדי ביצוע העבירות.",,0.005149636015628971,0.0002385233826381151,0.999281201398238,0.0017101378005376872,0.9996673597020166,1.4138572543437088e-05,,,,,,0.999377540300685,1.185232030095131e-05,,,,,
11,ME-10-08-17917-313,רעייתו העידה כי הנאשם אף פנה לקבלת עזרה במוסד גמילה.,,0.001058887170706416,0.00023227904764364123,0.9990793390244107,0.0021431111810274145,2.0373159640157247e-05,,,,,,,,,,,,,
12,ME-10-08-17917-313,"ב""כ המאשימה ביקש להחמיר עם הנאשם בשים לב לחומרת העבירות – הן העבירות בנשק והן בסם המסוכן – עבירות שיש בהן משום סכנה לציבור.",,0.9996490802171657,,,,,,,,,,,,,,,,,
13,ME-10-08-17917-313,כן טען לצורך בהרתעה בעבירות מסוג זה.,,0.9979003285974375,,,,,,,,,,,,,,,,,
14,ME-10-08-17917-313,"הסניגור ביקש להתחשב במצבו של הנאשם, שאלה העבירות הראשונות שמיוחסות לו.",,0.000643544373610461,0.0003076062650000278,0.9779072928947842,0.0019426912814707734,1.876267557297627e-05,,,,,,,,,,,,,
15,ME-10-08-17917-313,"לטענתו, הנאשם אדם נורמטיבי שהודה בהזדמנות הראשונה הן במשטרה והן בבית המשפט ומסר לחוקריו את כל המידע שנדרש על ידם.",,0.002629606487057847,0.00032469595415475126,0.9990016192724216,0.001961324923381019,0.9997170614846064,0.9995731714693817,,,,,,1.1508913616619485e-05,1.2909462521411624e-05,,,,,
16,ME-10-08-17917-313,"כן טען כי החזיק באקדח כאמצעי הגנה עצמית, כאשר יצא עם משפחתו לשהיית לילה בקמפינג בשפת הים וכי הנאשם מתחרט על מעשיו.",,0.002568509983061904,0.00036328156549129297,4.482163391827701e-08,0.9999067241456561,2.5741166272610748e-05,,0.9870408457057979,0.9996601110714802,1.1080359503302597e-05,1.1771260658243104e-05,1.5084391094608006e-05,,,0.998955533317731,0.00415367072598169,0.9996128938016257,5.447882176809007e-05,5.447882176809007e-05
17,ME-10-08-17917-313,באשר לסם טען כי מדובר באחזקת סם לשימוש עצמי בלבד.,,0.9974443424638034,,,,,,,,,,,,,,,,,
18,ME-10-08-17917-313,"הסניגור טען כי הנאשם עלה לארץ בגיל 17 כנוצרי וכי שירת בצה""ל ובהמשך בשירות בטחון כללי, כי בחייו התמודד עם קשיים רבים וזוהי מעידתו הראשונה והחד פעמית.",,0.010047073865023121,0.00047318547031023443,0.9995794345932365,0.0018040087492390646,1.970870555812743e-05,,,,,,,,,,,,,
19,ME-10-08-17917-313,הסניגור ביקש לשלוח את הנאשם לממונה על עבודות השירות ובהמשך להשית עליו עונש שלא יכלול מאסר בפועל.,,0.9991068187553996,,,,,,,,,,,,,,,,,
20,ME-10-08-17917-313,"הנאשם עצמו הביע אף הוא חרטה על מעשיו וטען כי מדובר במעידה חד פעמית, שהוא אינו יודע כיצד הגיע אליה וכי הוא חי בבושה וחרפה כלפי בני משפחה והחברה.",,0.004022067306798317,0.00029793753480381334,0.7551523015039822,0.0024482049732844216,0.9997265029120576,1.435048079332576e-05,,,,,,0.9995381105054921,1.2784588581913878e-05,,,,,
21,ME-10-08-17917-313,"לטענתו, היום הוא מבין את הדברים אחרת והוא התעורר ממשהו שלא חלם בחלומותיו הגרועים ביותר שיגיע אליו.",,0.001100613893895481,0.00022750112335076002,0.9707610703793921,0.002458531470458556,1.9515208154698887e-05,,,,,,,,,,,,,
22,ME-10-08-17917-313,הנאשם ביקש רחמי בית המשפט.,,0.998981535567229,,,,,,,,,,,,,,,,,
23,ME-10-08-17917-313,שני הצדדים הגישו פסיקה בתמיכה לטענותיהם בדבר רמת הענישה בעבירות דומות.,,0.9995956139168767,,,,,,,,,,,,,,,,,
24,ME-10-08-17917-313,"לאחר ששמעתי את טענות הצדדים, החלטתי להפנות את הנאשם לממונה על עבודות השירות (כאשר הבהרתי בהחלטתי כי אין בכך כדי להביע עמדה באשר לעונש שיש להשית על הנאשם וכי אשקול עמדתי לאחר חוות הדעת ושמיעת טיעון משלים מטעם הצדדים).",,0.9996399161851657,,,,,,,,,,,,,,,,,
25,ME-10-08-17917-313,הונחה בפני חוות דעת הממונה על עבודות השירות שקבע כי הנאשם יוכל לרצות עונשו בעבודות שירות (כאשר מקום העבודה שהוצע הינו בית הקשיש בנהריה).,,0.997936726591506,,,,,,,,,,,,,,,,,
26,ME-10-08-17917-313,צויין בחוות דעת הממונה כי הנאשם הודה בשימוש בסמים בעברו אך טען כי השימוש האחרון היה לפני 4 חודשים.,,0.010442258479367736,0.00032908665471590456,0.9994081426236768,0.0015329954028850694,0.9997052305389439,0.9995511995012271,,,,,,1.1816560937443776e-05,1.0950254220553508e-05,,,,,
27,ME-10-08-17917-313,בדיקת שתן שנערכה לנאשם הצביעה על היותו נקי.,,0.0001468752781167604,0.0001446313041061911,6.262726976199e-08,0.0016889039416921653,2.0191806546111386e-05,,,,,,,,,,,,,
28,ME-10-08-17917-313,עוד צויין כי הנאשם הביע הסכמה לריצוי העונש בעבודות שירות.,,0.000748482905290342,0.00028577195991639364,3.918641183052439e-08,0.001703901779839609,2.0209932967596607e-05,,,,,,,,,,,,,
29,ME-10-08-17917-313,"הסניגור הוסיף וטען כי הנאשם גם פנה ליחידה לטיפול בהתמכרויות בנהריה בתחילת חודש דצמבר 2010, והחל בתהליך גמילה.",,0.001974569974366441,0.00029920031619303194,0.9904078990366306,0.0016454422038539528,1.871920122908103e-05,,,,,,,,,,,,,
