text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"ב""כ המאשימה: עו""ד שירלי לוגסי",1.21585845e-05,5.6486338e-06,9.5868645e-06,3.0658775e-05,5.5654687e-06,3.0163326e-06,5.2296573e-06,2.5623825e-05,2.0725472e-05,1.6419162e-05,0.00039211503,4.4861335e-05,0.00033136926,2.3766852e-06
"ב""כ הנאשם: עוה""ד אלי כהן, רינת בנתורה ורמי ז",1.0139482e-05,5.2752653e-06,9.424995e-06,3.3962675e-05,5.309834e-06,3.638174e-06,5.9722925e-06,2.0960775e-05,2.0503878e-05,1.5484922e-05,0.0003329018,5.8136877e-05,0.0003934987,2.80991e-06
"חוק העונשין, תשל""ז-1977: סע'  40 ט', 144(א), 144(ב), 40 יא', 40 יג'",1.9335472e-05,5.03166e-06,9.422308e-06,5.954142e-05,6.318894e-06,8.497228e-06,7.6108663e-06,6.717611e-05,1.9317004e-05,2.156381e-05,0.00022704531,0.000106043306,0.00047198444,2.7268916e-06
הנאשם הורשע בהתאם להודאתו בעובדות כתב האישום המתוקן בעבירות כדלקמן:,7.918177e-06,5.1609486e-06,9.40962e-06,3.3185293e-05,5.6090557e-06,3.8534154e-06,4.8952206e-06,1.8395043e-05,2.0418916e-05,1.4278162e-05,0.00015967483,6.247687e-05,0.00029114934,0.99999785
"נשיאת נשק, לפי סעיף 144(ב) בחוק העונשין, תשל""ז – 1977 (להלן: ""החוק"").",1.0540092e-05,5.160697e-06,9.471996e-06,7.2002455e-05,4.759662e-06,1.0242198e-05,2.0033e-05,0.06454512,1.9467187e-05,3.2310963e-05,0.00021611707,7.785826e-05,0.00023131957,3.1097907e-06
"החזקת תחמושת, לפי סעיף 144(א) סייפא בחוק.",2.6744789e-05,5.2338037e-06,9.44761e-06,0.056355108,5.0365425e-06,1.2361858e-05,0.8751147,0.45972162,0.009337641,0.0006137073,0.00020625936,8.049357e-05,0.00027268162,3.262509e-06
"על-פי המתואר בעובדות כתב האישום המתוקן, בתאריך 18.9.15 ביצעו מספר שוטרים תצפית במסגרת פעילות בילוש בניידת בילוש.",9.595133e-06,5.1434076e-06,0.9999957,0.0001154635,0.13218787,1.22677175e-05,0.0003007032,0.9995989,2.009032e-05,0.9998909,0.0011383187,8.098455e-05,0.000246965,0.025997642
סמוך לשעה 03:00 הבחינו השוטרים ברכב נהוג בידי הנאשם ובו שני אנשים נוספים.,7.0284877e-06,5.315255e-06,1.0294226e-05,4.9376198e-05,0.99997807,4.001573e-05,0.0033546265,0.99944276,2.5637539e-05,0.99743795,0.00035682195,7.401664e-05,0.00036067422,2.9036078e-06
מיד לאחר מכן החל אחד השוטרים בנסיעה אחרי הרכב תוך שהוא כורז במערכת הכריזה לנאשם לעצור וכן מדליק אורות כחולים מהבהבים והורה לנאשם לעצור.,5.9000968e-06,5.140867e-06,1.0158607e-05,5.8924605e-05,0.9999827,0.00038342405,0.011895548,0.999741,2.2663146e-05,0.79745656,0.0017080487,0.000105950414,0.00057067134,3.2499693e-06
"עקב כך החל הנאשם בנהיגה מהירה ומשהגיע לדרך ללא מוצא, נעצר והניידת נעצרה אחריו וחסמה את דרכו.",6.1944434e-06,5.2253704e-06,9.44643e-06,5.379088e-05,0.9997594,0.00013357695,0.00010279329,0.9991819,1.9058576e-05,0.81649363,0.13235551,9.645883e-05,0.0026911409,3.0883223e-06
"בהמשך ביצעו השוטרים חיפוש ברכב ובמהלכו נתפסו בתוך שק יוטה בצבע חום, שני רובי ""קרל גוסטב"" מאולתרים עם מחסנית בתוכם, קרטון ובו 39 כדורים 9 מ""מ וגרב שחור ובו 8 כדורים נוספים.",7.0275896e-06,5.0778012e-06,0.9999962,0.9999957,0.999987,0.0005334503,0.9999733,0.9999554,0.9999969,0.95060736,0.00043406387,0.0001033141,0.0001920888,3.4741342e-06
"הצדדים הגיעו להסדר דיוני, לפיו הנאשם הודה והורשע בכתב האישום המתוקן ונשלח לקבלת תסקיר שירות מבחן.",8.43136e-06,5.2377636e-06,9.387642e-06,3.4367265e-05,5.0660524e-06,6.8561344e-06,6.9473926e-06,1.3969512e-05,1.9254527e-05,1.3523784e-05,0.00070826133,7.956883e-05,0.0023490053,0.99999785
"על פי תסקיר שירות המבחן, הנאשם כבן 55, נשוי ואב ל-3 ילדים.",8.843539e-06,0.9999788,9.467715e-06,3.807717e-05,4.769522e-06,7.263832e-06,1.3650415e-05,2.130889e-05,2.0190679e-05,1.7495247e-05,0.00036215203,0.000117228585,0.0048358147,2.6236721e-06
