,case,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,RESPO-predicted,REGRET-predicted,CIR_USE-predicted,CIR_TYPE_WEP-predicted,CIR_STATUS_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted,_HELD_WAY_WEP-predicted
0,,"ב""כ המאשימה עו""ד פאדי אסעד",,0.9995837641623893,,,,,,,,,,,,,,,,
1,,"הנאשם בעצמו וב""כ עו""ד גיל פרידמן",,0.9996337347623422,,,,,,,,,,,,,,,,
2,,"הנאשם, אחמד חגלה יליד 1992, הורשע על יסוד הודאתו בעובדות כתב אישום מתוקן, במסגרת הסדר דיוני שלא כלל הסכמה לעניין העונש, בביצוע עבירה של החזקת נשק שלא כדין.",,0.0031632410495963494,0.1051764496923085,0.025235443743486845,0.016834026590915332,0.9755478218850131,0.40962755352183206,0.12022184852240522,,,,,,,,,,
3,,"לפי עובדות כתב האישום המתוקן, בין התאריכים 5.3.2015 – 11.3.2015 החזיק הנאשם בתיק על גג מחסן סמוך לביתו בג'לג'וליה ברובה מאולתר מסוג ""קרל גוסטב"" טעון במחסנית תואמת ובה כדורים.",,0.0002661411938766478,0.06608486155557565,0.036433603518912686,0.7943081253387336,0.43705071582543975,,,0.6666127276142017,0.8862544205799039,0.8018635157831638,0.7316764106698498,0.3284977278230976,0.6570678774366872,0.13373846869073078,0.13781100487023024,0.9080975135135951,0.964648303117493
4,,"לצד הרובה החזיק הנאשם שקית ובה מחסנית טעונה בכדורים בקוטר 9 מ""מ וכדורים בקוטר 5.56 מ""מ בתפזורת.",,0.00022588997969331522,0.020040692231657047,0.04280891535570269,0.989743154544952,0.06966005577631482,,,0.8982344286328355,0.9900711962834057,0.990179786994279,0.9679489952893372,0.05244146283498107,0.20204874123540162,0.302630808767012,0.30393858061691603,0.9977762549712089,0.9963142594532294
5,,בהתאם להסדר הדיוני בין הצדדים הוגש בעניינו של הנאשם תסקיר מבחן.,,0.9996943083729986,,,,,,,,,,,,,,,,
6,,מהתסקיר עולה כי הנאשם רווק ועובד כיום בארגון אירועים ובעבודות בניה.,,0.008058044830564918,0.017634875245449395,0.8748392593389483,0.24719257229474725,0.31624257728222877,,,,,,,,,,,,
7,,הוריו של הנאשם גרושים מזה 6 שנים והאם היא זו שגידלה בגפה את ילדיה.,,0.004979253017816622,0.025504846280338594,0.9468778222819363,0.7287126352175901,0.09567776405404134,,,0.6705020320125014,0.20414611620797504,0.01923551285201005,0.7821851310053586,0.14231418413399793,0.26631577671530865,0.11116541127008082,0.04023281111042625,0.11395221528408293,0.21090204467673446
8,,"שירות המבחן התרשם בתחילת הדרך מאדם צעיר שמטשטש את הבעייתיות בהתנהגותו, אך בהמשך שולב הנאשם בקבוצה טיפולית בשירות המבחן, התחיל לערוך בדיקה עצמית, וכיום רואה הנאשם במעצרו נקודת מפנה במצבו והוא ניתק לדבריו מגע עם חברה שולית עמה נהג להתרועע וחדל להשתמש בסמים ואלכוהול.",,0.006401486145901387,0.009774022027774257,0.9861794653926732,0.3724696982608443,0.8913526334060042,0.5394316690701595,0.9333477106125421,,,,,,,,,,
9,,"אף כי הנאשם הכחיש מעורבות בעבירה בה הודה והגם שקבע בעניינו של הנאשם מסוכנות בינונית לבצע עבירות אלימות, המליץ שירות המבחן להימנע מלגזור על הנאשם עונש מאסר מאחורי סורג ובריח כדי למנוע חשיפתו מחדש לחברה שולית.",,0.00821170446400625,0.011782277047286877,0.7736562094879468,0.01271583994019065,0.910358502865777,0.2139649124503948,0.9182221138682777,,,,,,,,,,
10,,הומלץ גם על צו מבחן.,,0.9985597061466704,,,,,,,,,,,,,,,,
11,,"ב""כ המאשימה עמדה על חומרתה המופלגת של העבירה בה הורשע הנאשם ועל התייחסותו של הנאשם לאחריותו לה, ועתרה לגזור על הנאשם עונש במתחם שנע בין 24 ל-48 חודשי מאסר.",,0.010507766402189698,0.0049688465932550005,0.025105411963311956,0.004293012814715609,0.5834228689074235,0.2543534363481721,0.4750756949047195,,,,,,,,,,
12,,כיוון שמדובר בצעיר נטול הרשעות קודמות עתרה התובעת לגזור עליו עונש בתחתית המתחם.,,0.07427973621394571,0.007724186134775578,0.6346146007532849,0.005480387220361402,0.12180536266659105,,,,,,,,,,,,
13,,"ב""כ הנאשם, עו""ד גיל פרידמן, הסתייג ממתחם העונש שהציעה המאשימה, התמקד בטיעוניו בנסיבותיו האישיות של הנאשם וביקש לגזור עליו עונש מאסר שניתן יהיה לרצות בעבודות שירות.",,0.9831959123681684,,,,,,,,,,,,,,,,
14,,"הנאשם החזיק תחת שליטתו כלי נשק התקפי טעון במחסנית ובה כדורים חיים, וכן תחמושת.",,0.0003225365283077103,0.02116569342713914,0.1386966345457432,0.9871529042807847,0.14071258904108164,,,0.9452895357382749,0.9810531229158826,0.9911185096279456,0.9903066298657056,0.08058002359400192,0.9410787118714738,0.21914893168044916,0.42065774798360295,0.9954206333500012,0.9974579619691482
15,,המעשה בביצועו הסתבך הנאשם הוא מעשה חמור וטמונה בו סכנה ניכרת לשלום הציבור.,,0.9947462141743525,,,,,,,,,,,,,,,,
16,,פגיעתן של העבירות קשה.,,0.9319507271549772,,,,,,,,,,,,,,,,
17,,"נשק לא מורשה שמוחזק על ידי פלוני, מחר ייעשה בו שימוש לרעה על ידי פלוני עצמו או על ידי אחרים.",,0.9959915880877712,,,,,,,,,,,,,,,,
18,,"בתי המשפט עמדו פעמים רבות על הסכנה הרבה הגלומה בהחזקת כלי ירייה על ידי מי שאינם מורשים לכך, סכנה שמצדיקה נקיטת יד קשה כלפי המורשעים בביצוע עבירה זו:",,0.9994182299370674,,,,,,,,,,,,,,,,
19,,"בהתחשב באמור לעיל, בעובדה כי הנאשם החזיק כאמור כלי נשק התקפי טעון במחסנית ובה כדורים ובנוסף בתחמושת, וברמת הענישה הנוהגת במקרים דומים, אני קובע כי מתחם העונש ההולם מקרה זה הוא בין 10 חודשי מאסר בפועל ועד 20 חודשי מאסר, וזאת כעונש עיקרי.",,0.003424880013083669,0.013503010744130833,0.05312892043381269,0.02954078023559652,0.21036470596049556,,,,,,,,,,,,
20,,"אציין כי המאשימה עתרה אמנם למתחם עונש הולם חמור בהרבה, אך לא הציגה לעיוני ולוּ גזר דין אחד התומך בעמדתה זו.",,0.9993126803912037,,,,,,,,,,,,,,,,
21,,משלא הוצגו לי שיקולי שיקום שיצדיקו חריגה ממתחם העונש ההולם עליי לגזור את עונשו של הנאשם בתוך המתחם.,,0.9990158224858459,,,,,,,,,,,,,,,,
22,,לא ניתן לקבל את המלצת שירות המבחן במקרה דנן.,,0.9990842862073442,,,,,,,,,,,,,,,,
