,verdict,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,CONFESSION_LVL2-predicted,CIR_TYPE_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_HELD_WAY_WEP-predicted,REGRET-predicted,RESPO-predicted,CIR_USE-predicted,CIR_STATUS_WEP-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted
0,m04008192-374,בוחבוט יוסי ת.ז. 036700045,,0.9990039539383748,,,,,,,,,,,,,,,,,
1,m04008192-374,בוחבוט יוסי ת.ז. 036700045,,0.9990039539383748,,,,,,,,,,,,,,,,,
2,m04008192-374,"חוק העונשין, תשל""ז-1977: סע'  144, 144(ב)",,0.9996952616942169,,,,,,,,,,,,,,,,,
3,m04008192-374,* עונשין – עבירות – החזקת נשק שלא כדין,,0.9994576192340908,,,,,,,,,,,,,,,,,
4,m04008192-374,* ראיות – כלל הראיה הטובה ביותר – תחולתו,,0.999428840267336,,,,,,,,,,,,,,,,,
5,m04008192-374,"המדינה ייחסה לנאשם זריקת רימון הלם על גג מבנה, במהלך מרדף אחריו.",,0.00011458872098780437,0.00010285945477714075,4.938731081068789e-08,0.9999136036726736,1.9389804021365498e-05,,0.9994092309104723,1.3982311871535139e-05,1.2425032202199202e-05,1.2865267503081736e-05,1.3420132190053898e-05,,,0.936148249628153,0.00017618667487049417,0.9949784218984715,5.471380983930589e-05,5.471380983930589e-05
6,m04008192-374,כנגד הנאשם הוגש כתב אישום המייחס לו עבירה של נשיאת נשק בהתאם לסעיף 144 לחוק העונשין.,,0.9852677987461169,,,,,,,,,,,,,,,,,
7,m04008192-374,"בסיכומיו טען, שהרימון אשר נתפס הושמד ולכן, נמנע ממנו להוכיח כי אין מדובר ברימון הלם, אלא ברימון תרגול שנעדר רכיבים שהופכים אותו לנשק.",,0.0009307575299654701,0.00012426821995943792,4.694875813073874e-08,0.9999026048487889,1.9596154955102227e-05,,0.999830908477667,1.596770025499898e-05,1.2819613059279444e-05,1.4247429747715942e-05,1.6051360041842554e-05,,,0.006948478017549604,0.0005229087019092809,0.022229444615885087,6.278201643276664e-05,6.278201643276664e-05
8,m04008192-374,"ביהמ""ש המחוזי הרשיע את הנאשם במיוחס לו מהטעמים הבאים:",,0.9992073334609797,,,,,,,,,,,,,,,,,
9,m04008192-374,"המאשימה הוכיחה מעל לכל ספק סביר כי הנאשם, במהלך מנוסתו מן השוטרים, זרק את כובע הגרב ובתוכו רימון הלם, אשר אחז בידו, אל עבר גג המבנה.",,0.00028676269558670865,8.347967245155145e-05,5.508461323122853e-08,0.9999121044488896,1.9343393939880304e-05,,0.9997698227040186,1.5455072545998028e-05,1.2945136976837767e-05,1.440404111932282e-05,0.999448987644236,,,0.9944187673128453,0.9969306117441669,0.9956435394333218,5.731767035738893e-05,5.731767035738893e-05
10,m04008192-374,"עדויות השוטרים היו מהימנות ועקביות, בניגוד לגרסת הנאשם.",,4.0884398269120935e-06,7.116114213675396e-05,7.198897862693593e-08,0.0018439474705581028,1.974348110710615e-05,,,,,,,,,,,,,
11,m04008192-374,"לכך מתווספים כחיזוק ראיות נסיבתיות  על פיהן, הוכח כי הרימון נמצא על הגג במקום הנמצא במסלול המנוסה של הנאשם וכך גם השיח בו נמצאו כפפות.",,0.0010089988526042941,0.0002772892701206093,3.307935570655941e-08,0.9998769905976416,1.833928246487302e-05,,1.355713919859782e-05,1.1700700855784957e-05,1.1886329829647792e-05,1.2460226118972121e-05,0.999005083643181,,,0.0012719555952229063,0.987409122321447,0.16448356793869817,5.2473145603793674e-05,5.2473145603793674e-05
12,m04008192-374,"כן הוכח כי הרימון אשר נתפס הינו רימון הלם אשר אין חולק כי עונה על הגדרת ""נשק"" במובן סעיף 144 לחוק העונשין.",,0.00038975649918571745,0.00039561600085154296,2.6755069517110288e-08,0.9988917009303672,1.9482214565875993e-05,,0.9997844795783519,1.4287300645033084e-05,1.1644708717222206e-05,1.1659024774431185e-05,1.1649073719871206e-05,,,0.0001452001694493279,0.00010971980533592442,0.8060858735059314,6.003231835284907e-05,6.003231835284907e-05
13,m04008192-374,"כנגד הנאשם הוגש כתב אישום המייחס לו עבירה של נשיאת נשק, עבירה לפי סעיף 144(ב) לחוק העונשין התשל""ז – 1977 (להלן:  ""חוק העונשין"").",,0.9873410598281045,,,,,,,,,,,,,,,,,
