text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CONFESSION_LVL2,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע על פי הודאתו בכתב אישום מתוקן שבמסגרתו נכללה עבירה של החזקת נשק -עבירה לפי סעיף 144 (א) רישא לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין"").",,,,,['כן'],,,,,,,,,,,,,,,,
"מהעובדות המופיעות בכתב האישום המתוקן עולה, כי בתאריך 31/1/07, מצא הנאשם בשטח אדמה הסמוך לכפר מגוריו נשק מסוג עוזי ושתי מחסניות (להלן: ""הנשק"").",,,,,,,,,,,,,,,"['מאחר', 'מצא', 'גנב']",,,,,,
"הנאשם נשא את הנשק והובילו עד לביתו, שם החביאו מעל ארון בגדים בכוונה להמשיך להחזיק בו מבלי שהיה בידיו היתר להחזקתו עפ""י דין.",,,,,,,[],,,['בבית'],,,,['נשק עם מחסנית בהכנס'],['מאחר'],,,,,,
"ביום 4/2/07 נערך חיפוש בביתו של הנאשם, על פי צו בית משפט, וכך אותר הנשק ונתפס, כשעד לאותו מועד נמנע הנאשם מלהסגיר את הנשק לגורמי החוק, וזאת חרף ידיעתו כי אין לו היתר להחזיק בנשק או להובילו.",,,,,,,,,,,,,,"['נשק מופרד מתחמושת', 'נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,,
"הנאשם, כאמור, הודה בעובדות כתב האישום המתוקן, הורשע בהתאם להודאתו, ובהתאם בהסדר אליו הגיעו הצדדים הוסכם כי הטיעון לעונש יהיה פתוח וכי יוזמן תסקיר מבחן בעניינו של הנאשם.",,,,,['כן'],,,,,,,,,,,,,,,,
"מן התסקיר שהוגש ביום 24/1/08 עולה כי הנאשם הינו בן 44, נשוי ואב לשבעה ילדים הסמוכים על שולחנו, וכי הינו מאופיין בהרגלי עבודה חיוביים.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנאשם הציג בפני שרות המבחן אסמכתאות בדבר בעיות בריאותיות מהן סובל, ובכלל זה פגיעה בתפקוד הכליות, לחץ דם וכיוצ""ב.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"עפ""י התסקיר, בביתו של הנאשם שוררת אווירה משפחתית עצובה על רקע אובדן אחד מהילדים אשר נהרג בחצר הבית בעקבות נפילת חבילת קש גדולה וכבדה עליו, אובדן המתווסף לבעיות נפשיות מהן סובלים חלק מבני המשפחה, ובייחוד אשתו של הנאשם, הסובלת ממצב דכאוני.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"במסגרת תסקיר שרות המבחן מתאר הנאשם עצב, העדר שמחת חיים וחוסר נחת ממציאות חייו, הן בשל מצבו הבריאותי הפיזי והן בשל מצבו הנפשי.",,,,,,,,,,,,,,,,,,,,,
"להערכת שרות המבחן, ניתן להסביר את ביצוע העבירה דנא בכך שהנאשם חיפש ריגושים לשגרת חייו השגרתית והמשעממת.",,,,,,,,,,,,,,,,,,,,,
