feature_key,text,extraction
CONFESSION,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז–1977, ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק.",True
CONFESSION,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז–1977, ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק.",True
CONFESSION,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז – 1977 (להלן-החוק), ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק [כל ההדגשות שבגזר הדין הן שלי-ג'נ'].",True
CONFESSION,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז – 1977 (להלן-החוק), ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק [כל ההדגשות שבגזר הדין הן שלי-ג'נ'].",True
CONFESSION,"הודאת הנאשם בעובדות האישום, וזאת כבר בישיבה הראשונה בתיק זה (בעמ' 1 לפר').",True
CONFESSION,"הודאת הנאשם בעובדות האישום, וזאת כבר בישיבה הראשונה בתיק זה (בעמ' 1 לפר').",True
CONFESSION,"לפני כשנה נמלט האדם שנגדו העיד הנאשם, והמשטרה הזהירה את הנאשם, כי צפוייה סכנה לחייו עקב מתן עדותו (ראה בהחלטה דלעיל, בעמ' 3 לפר', שו' 7-8; ראה בדברי הסניגורית-בע' 6 לפר', ש' 6-14, 20-21, 27-29).",True
USE,הנאשם טען:נ הוא החזיק בנשק מפחד שיפגעו בו.,False
OBTAIN_WAY,הנאשם טען:נ הוא החזיק בנשק מפחד שיפגעו בו.,[]
OFFENCE_NUMBER,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז–1977, ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק.",['144 א']
OFFENCE_TYPE,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז–1977, ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק.",['החזקה נשק']
OFFENCE_TYPE,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז–1977, ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק.",['החזקה נשק']
OFFENCE_NUMBER,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז – 1977 (להלן-החוק), ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק [כל ההדגשות שבגזר הדין הן שלי-ג'נ'].",['144 א']
OFFENCE_TYPE,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז – 1977 (להלן-החוק), ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק [כל ההדגשות שבגזר הדין הן שלי-ג'נ'].",['החזקה נשק']
OFFENCE_TYPE,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז – 1977 (להלן-החוק), ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק [כל ההדגשות שבגזר הדין הן שלי-ג'נ'].",['החזקה נשק']
