,verdict,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,CONFESSION_LVL2-predicted,CIR_TYPE_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_HELD_WAY_WEP-predicted,REGRET-predicted,RESPO-predicted,CIR_USE-predicted,CIR_STATUS_WEP-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted
0,s024354,בבית משפט השלום בתל אביב-יפו,,0.9996223525237896,,,,,,,,,,,,,,,,,
1,s024354,בבית משפט השלום בתל אביב-יפו,,0.9996223525237896,,,,,,,,,,,,,,,,,
2,s024354,ת.פ.  4354/02,,0.9994927618808885,,,,,,,,,,,,,,,,,
3,s024354,ת.פ.  4354/02,,0.9994927618808885,,,,,,,,,,,,,,,,,
4,s024354,בבית משפט השלום בתל אביב-יפו,,0.9996223525237896,,,,,,,,,,,,,,,,,
5,s024354,בבית משפט השלום בתל אביב-יפו,,0.9996223525237896,,,,,,,,,,,,,,,,,
6,s024354,כב' השופט גלעד נויטל,,0.9993517905866326,,,,,,,,,,,,,,,,,
7,s024354,"מדינת ישראל-ע""י פרקליטות מחוז ת""א (פלילי)",,0.9997779674882725,,,,,,,,,,,,,,,,,
8,s024354,נ  ג  ד,,0.9995019090435845,,,,,,,,,,,,,,,,,
9,s024354,"שניר (שמעון) מקייטן – ע""י ב""כ עו""ד נעמי כהן",,0.9993970731023445,,,,,,,,,,,,,,,,,
10,s024354,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז–1977, ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק.",,0.001073899204348849,0.0002142725781539169,3.5845962918567656e-08,0.0017701713408670317,0.9997508969022598,0.9996680707650415,,,,,,1.1126262415891918e-05,1.1771308752103541e-05,,,,,
11,s024354,"הנאשם הודה בעובדות כתב האישום, והורשע בעבירה של החזקת נשק בלא רשות על פי דין לפי סעיף 144 (א) לחוק העונשין,תשל""ז – 1977 (להלן-החוק), ובעבירה של החזקת נכס חשוד לפי סעיף 413 לחוק [כל ההדגשות שבגזר הדין הן שלי-ג'נ'].",,0.0073492499008868065,0.0005891480246518682,4.107791589271643e-08,0.0018643545383128814,0.9997650732485334,0.9996668477266201,,,,,,1.1031375684557672e-05,1.1931710564703043e-05,,,,,
12,s024354,"התביעה ביקשה, שעל הנאשם יוטל עונש מאסר בפועל לתקופה ממשית, ומאסר על תנאי.",,0.9988212347587635,,,,,,,,,,,,,,,,,
13,s024354,"ההגנה ביקשה עונש הרתעתי, ולכל היותר עבודת שירות (בעמ' 5, שו' 3; בעמ' 7, ש' 9, 17).",,0.006132997372211624,0.00025231241392243596,4.901372186063756e-08,0.0015293212994005622,1.964995756975146e-05,,,,,,,,,,,,,
14,s024354,"עברו הפלילי של הנאשם:ב לפי גיליון הר""פ ת/1, כבר רשומות לחובת הנאשם בעברו גם עבירות אלימות והחזקת נשק:ו שוד מזויין, ניסיון לתקיפת אדם לשם שוד בתנאים מחמירים (2 עבירות), תקיפה (2 עבירות), תקיפה בתנאים מחמירים, איומים (3 עבירות), החזקת נשק שלא כדין (2 עבירות), תקיפת שוטר; בנוסף, רשומות לחובת הנאשם גם עבירות אחרות:נ פריצה לבנין שאינו דירה וגניבה, הפרת הוראה חוקית, הפרעה לשוטר במילוי תפקידו, הפרעה לעובד ציבור, העסקה והלנה שלא כדין.",,0.0016932807707780138,0.00017580480428265168,0.997933209331346,0.0012000110739922745,2.5149701753768254e-05,,,,,,,,,,,,,
15,s024354,"הוטלו על הנאשם בעבר עונשי מאסר בפועל (סע' 3 ו-4 בגיליון הר""פ ת/1).",,0.0016523986194427146,7.487707906931996e-05,3.881771075777773e-08,0.0016912201709409363,1.89255111825774e-05,,,,,,,,,,,,,
16,s024354,"הצורך בהרתעה של הנאשם, וגם של אחרים כמותו, מלבצע עבירות בנשק מסוג זה.",,0.9990105426173527,,,,,,,,,,,,,,,,,
17,s024354,"ואולם, על אף השיקולים לחומרא, הרי שלאור השיקולים לקולא שלהלן, ולאור פסיקה בסוגיה, אטיל על הנאשם (גם) עונש מאסר בפועל, אך שניתן יהיה לרצותו בעבודת שירות (אם הנאשם יימצא כשיר ומתאים לכך).",,0.997591109560581,,,,,,,,,,,,,,,,,
18,s024354,אלה נימוקיי:ב,,0.9995022872661339,,,,,,,,,,,,,,,,,
19,s024354,"הודאת הנאשם בעובדות האישום, וזאת כבר בישיבה הראשונה בתיק זה (בעמ' 1 לפר').",,0.0003512649846361166,0.000491387805566227,4.869105293406014e-08,0.001862360833035166,0.9997465484961235,0.9996288425425608,,,,,,1.1540626501765923e-05,1.2535724828172027e-05,,,,,
20,s024354,נסיבות מקילות שברקע העבירה של החזקת נשק שביצע הנאשם:נ,,0.9995972887839731,,,,,,,,,,,,,,,,,
21,s024354,2.,,0.9966841538683013,,,,,,,,,,,,,,,,,
22,s024354,"לפני כשנה נמלט האדם שנגדו העיד הנאשם, והמשטרה הזהירה את הנאשם, כי צפוייה סכנה לחייו עקב מתן עדותו (ראה בהחלטה דלעיל, בעמ' 3 לפר', שו' 7-8; ראה בדברי הסניגורית-בע' 6 לפר', ש' 6-14, 20-21, 27-29).",,0.22242193512623037,0.0009613203769497498,5.3253218309463445e-08,0.0016575406461699627,0.9997893590619523,1.455274522699297e-05,,,,,,1.1824742951355987e-05,1.3405080784728563e-05,,,,,
23,s024354,"בזכ""ד נ/2, אומר פקד ניסים דאודי מימ""ר ת""א בין השאר, ש""שניר (הנאשם-ג'נ'), הוזהר ביולי 2001 לגבי חשש לחייו"" (נ/2, אמצע העמוד).",,0.0011388328864722018,0.0017045354450960146,6.584262408362248e-08,0.0017472761473486672,1.850711888637774e-05,,,,,,,,,,,,,
24,s024354,"ועוד נאמר בזכ""ד נ/2:ו ""ייתכן שלפני מס' חודשים הוזהר שוב אך לא בטוח בכך."" (שם, שם; ראה גם בהחלטה דלעיל, בדברי ב""כ המדינה, בעמ' 2 לפר', שו' 11-12).",,0.26620944472919017,0.00045664327186282746,5.1249873831306756e-08,0.0017507620576131145,2.0076898492108197e-05,,,,,,,,,,,,,
25,s024354,4.,,0.9954258928270959,,,,,,,,,,,,,,,,,
26,s024354,"הנאשם לא עבר עבירה כלשהי באמצעות הנשק, וגם אין טענה כזו (בהחלטה דלעיל, בעמ' 3 לפר', שו' 10).",,7.937596422658816e-05,0.0004702621815172091,8.77292157232871e-08,0.001793770413327337,1.9253212814572e-05,,,,,,,,,,,,,
27,s024354,"בזכ""ד נ/3, נאמר, בין השאר:ב ""..",,0.9993335170019303,,,,,,,,,,,,,,,,,
28,s024354,.,,0.9976695361225251,,,,,,,,,,,,,,,,,
29,s024354,"האקדח לא קשור לארוע מסויים (רצח ניסיון לרצח)..."" (נ/3, שו' 2-3 מסוף העמוד).",,0.0019084698322099569,0.000526835414286833,4.7249941947697176e-08,0.9998233870664778,1.799698427987313e-05,,1.2131935491999825e-05,3.1390240726273716e-05,1.1225533206552362e-05,1.1907543677941247e-05,1.1871606034955147e-05,,,0.00016459980804896612,0.00013556068901322732,0.0004052332095019103,6.769044671777566e-05,6.769044671777566e-05
30,s024354,"הנאשם נתון במה שקרוי ""מעצר בית חלקי"", מחודש יולי 2002, ועד היום (ראה בהחלטה דלעיל, בעמ' 4-5).",,0.9996928848714192,,,,,,,,,,,,,,,,,
31,s024354,"אשר לתבריג למשתיק קול - לא נמצא משתיק קול (הסניגורית-בעמ' 7 לפר', שו' 3-4).",,0.988462047170402,,,,,,,,,,,,,,,,,
32,s024354,"מתוך טיעון הסניגורית (בנוסף לאמור לעיל-תמצית העיקר):ו הנאשם לא עבר עבירה אחרת עם האקדח, ואין ראייה לכוונה כזו מצידו.",,0.003249561095736921,0.00033641569253519137,3.395813634636754e-08,0.9999022982195345,1.8566845333446876e-05,,0.0039044987873549882,1.29753160643795e-05,1.1168353385804234e-05,1.2008721331285151e-05,1.2013522481501643e-05,,,0.06038509529328303,0.00010375625801234227,0.002106298304753527,5.2769605543057045e-05,5.2769605543057045e-05
33,s024354,חיי הנאשם בבית הסוהר יהיו בסכנה.,,0.995351347589628,,,,,,,,,,,,,,,,,
34,s024354,"הנאשם לומד בישיבה בירושלים (ראה גם במסמך נ/3, נ/4; בעדות רענן סייג-בעמ' 8-9 לפר').",,0.032414183001496406,0.0010484738040005485,0.9876735061111325,0.0016383546720006473,1.8860044451465447e-05,,,,,,,,,,,,,
35,s024354,"גם במפגשים אקראיים עם שוטרים, מוזהרים בני משפחתו של הנאשם, שחייו של הנאשם בסכנה (ראה גם בעדות רענן סייג-בע' 9 לפר',ש' 2-3).",,0.0025668655158289457,0.0009290633767560553,6.78859291359703e-08,0.0020220811409423973,1.8885605621233094e-05,,,,,,,,,,,,,
36,s024354,אין לנאשם הגנה מהמשטרה.,,0.994985371431858,,,,,,,,,,,,,,,,,
37,s024354,אין לגיטימציה לעבירה שביצע הנאשם אך ניתן להבין את נסיבותיה.,,0.9978056068128275,,,,,,,,,,,,,,,,,
