text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CONFESSION_LVL2,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם, איגור בן סמיון סבובסקי, יליד 1961, הורשע ביום 17.6.10 על-פי הודייתו בכתב אישום המייחס לו שתי עבירות של החזקת נשק לפי סעיף 144(א) לחוק העונשין, תשל""ז-1977.",,,,,['כן'],,,,,,,,,,,,,,,,
"לפי העובדות המפורטות בכתב האישום, ביום 14.4.10 נמצא מחזיק בדירתו ברחוב אורלנסקי 11 בפתח תקווה שני כלי נשק ללא רשות על פי דין: אקדח ""ברטה"" חצי אוטומטי ואקדח ""לאמה"" חצי אוטומטי (להלן: ""שני האקדחים"").",,,,,,['אקדח'],,,,,,,,"['נשק מופרד מתחמושת', 'נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,,
"לפי תסקיר שירות המבחן למבוגרים ליום 4.1.11, הנאשם בן 50, נשוי ואב לבן כבן 17, יליד אוקראינה, עלה ארצה בשנת 1990 עם הוריו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
עובד כטכנאי רכב במוסך.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"סיים עשר שנות לימוד, עם תעודת בגרות מלאה, שירת בצבא הרוסי שירות מלא.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"בעבירות הודה, והסבירן על רקע אי הפעלת שיקול דעת.",,,,,['לא'],,,,,,,,,,,,,,,,
"הסביר כי החזיק את כלי הנשק על רקע עיסוקו בקליעה, ותחביבו איסוף כלי נשק – רובם עתיקים, ומרביתם ברישיון.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,['נשק עם מחסנית בהכנס'],[],,,,,,
"תיאר כי החזיק באקדחים על רקע הערך הסנטימנטלי שלהם, מבלי לקחת בחשבון כי עבר עבירה בכך.",,,,,,,,,,,,,,,,,,,,,
"הביע חשש כי הרשעה תפגע ביכולתו להמשיך בעבודתו במוסך, והציג מכתב ממעבידו כי אם יורשע יחדל להעסיקו בתפקיד מפתח כאיש קשר ונציג שירות מול לקוחות המוסך וגורמים שונים, בשל היעדר ייצוגיות.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"קצינת המבחן התרשמה כי מתאפיין בדפוסי התנהגות נורמטיביים, כי בהליך המשפטי יש כדי להעמידו על חומרת העבירות, וכי הפיק לקחים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לפיכך באה המלצה שלא להרשיעו, ולהטיל צו של""צ בהיקף של 200 שעות, לפי תכנית שיגבש שירות המבחן.",,,,,,,,,,,,,,,,,,,,,
