feature_key,text,extraction
CONFESSION,"הנאשם, איגור בן סמיון סבובסקי, יליד 1961, הורשע ביום 17.6.10 על-פי הודייתו בכתב אישום המייחס לו שתי עבירות של החזקת נשק לפי סעיף 144(א) לחוק העונשין, תשל""ז-1977.",False
CONFESSION,"הנאשם, איגור בן סמיון סבובסקי, יליד 1961, הורשע ביום 17.6.10 על-פי הודייתו בכתב אישום המייחס לו שתי עבירות של החזקת נשק לפי סעיף 144(א) לחוק העונשין, תשל""ז-1977.",False
TYPE_WEP,"לפי העובדות המפורטות בכתב האישום, ביום 14.4.10 נמצא מחזיק בדירתו ברחוב אורלנסקי 11 בפתח תקווה שני כלי נשק ללא רשות על פי דין: אקדח ""ברטה"" חצי אוטומטי ואקדח ""לאמה"" חצי אוטומטי (להלן: ""שני האקדחים"").","['ברטה', 'אקדח']"
STATUS_WEP,"לפי העובדות המפורטות בכתב האישום, ביום 14.4.10 נמצא מחזיק בדירתו ברחוב אורלנסקי 11 בפתח תקווה שני כלי נשק ללא רשות על פי דין: אקדח ""ברטה"" חצי אוטומטי ואקדח ""לאמה"" חצי אוטומטי (להלן: ""שני האקדחים"").",[]
OBTAIN_WAY,"לפי העובדות המפורטות בכתב האישום, ביום 14.4.10 נמצא מחזיק בדירתו ברחוב אורלנסקי 11 בפתח תקווה שני כלי נשק ללא רשות על פי דין: אקדח ""ברטה"" חצי אוטומטי ואקדח ""לאמה"" חצי אוטומטי (להלן: ""שני האקדחים"").",['מצא']
CONFESSION,"בעבירות הודה, והסבירן על רקע אי הפעלת שיקול דעת.",True
CONFESSION,"בעבירות הודה, והסבירן על רקע אי הפעלת שיקול דעת.",True
STATUS_WEP,"הסביר כי החזיק את כלי הנשק על רקע עיסוקו בקליעה, ותחביבו איסוף כלי נשק – רובם עתיקים, ומרביתם ברישיון.",[]
OBTAIN_WAY,"הסביר כי החזיק את כלי הנשק על רקע עיסוקו בקליעה, ותחביבו איסוף כלי נשק – רובם עתיקים, ומרביתם ברישיון.",['מצא']
TYPE_WEP,"עוד טענה כי מקום ואופן החזקת שני האקדחים מעיד על סכנה בהם, ותמכה טענתה בעובדה כי אקדח ה""ברטה"" נמצא כשהוא עטוף בניילון בתוך ארון מטבח מעל הכיור עם מחסנית בפנים, וכי אקדח  ה""לאמה"" נמצא בחדר השינה במגירת השידה הצמודה למיטה, כשמספרוֹ הסידורי מחוּק.","['ברטה', 'אקדח']"
