,verdict,text,part
0,ME-09-1010-582,"כב' השופטת רויטל יפה-כ""ץ- ס. נשיא- אב""ד",בפני כב' ההרכב:
1,ME-09-1010-582,"תפ""ח 1010-09",כב' השופט יורם צלקובניק 
2,ME-09-1010-582,"ע""י ב""כ עו""ד אלכס דרנבוים- פמ""ד",כב' השופט יורם צלקובניק 
3,ME-09-1010-582,"תקנות ההגנה (שעת-חירום), 1945: סע'  85(1)(א)",הנאשם
4,ME-09-1010-582,"חוק העונשין, תשל""ז-1977: סע'  40, 40ב, 40ג(א), 40ד, 40ה, 40ט, 143(ב), 144(ב), 305(1), 499(א)(1)",הנאשם
5,ME-09-1010-582,"הנאשם הורשע, על פי הודאתו, במסגרת הסדר טיעון, בעבירות, כנגד ביטחון המדינה, כפי המפורט בכתב אישום מתוקן שהוגש נגדו.",גזר דין
6,ME-09-1010-582,"הסדר הטיעון נעשה לאחר שמיעת ראיות המאשימה וטרם תחילת פרשת ההגנה, ואינו כולל הסכמה במישור העונשי, ולעניין זה טענו הצדדים בפנינו.",גזר דין
7,ME-09-1010-582,"על פי עובדות האישום הראשון, בכתב האישום המתוקן, שבו הודה הנאשם, התגייס הנאשם, במהלך שנת 2007 לזרוע הצבאית של ארגון החמאס, שכינויו ""גדודי עז א-דין אלקסאם"" (להלן:""הגדודים"") ובמסגרת זו השתתף עם חברי החוליה שלו בשמירות ליליות חמושות כנגד כניסת כוחות צה""ל (""ריבאט"").",גזר דין
8,ME-09-1010-582,"השמירה נעשתה בפרדס הסמוך לתחנת גז ברצועת עזה והנאשם וחברי החוליה היו חמושים במטול RPG, רוסר קלצ'ניקוב, שתי מחסניות ורימון יד.",גזר דין
9,ME-09-1010-582,הנאשם השתתף בשמירות אלה עד תאריך 7.12.08.,גזר דין
10,ME-09-1010-582,"מאחר שהגדודים הנ""ל הוכרזו כהתאחדות בלתי מותרת, וארגון החמאס הוכרז כארגון טרוריסטי, ולפי שהשמירות החמושות של חברי החוליה נועדו לגרום למותם של חיילי צה""ל, ככל שיגיעו לאזור, הורשע הנאשם באישום זה בעבירות של פעילות בהתאחדות בלתי מותרת, לפי סעיף 85(1)(א) לתקנות ההגנה (שעת חירום) 1945, בקשירת קשר לפשע (רצח) לפי סעיף 499(א)(1) לחוק העונשין תשל""ז – 1977 ובעבירות נשק (הובלת נשק) לפי סעיף 144(ב) לחוק העונשין.",גזר דין
11,ME-09-1010-582,"על פי עובדות האישום השני בכתב אישום המתוקן, בסמוך לסוף שנת 2008, הצטרף הנאשם לפלוגה אחרת של הגדודים והשתתף באימון צבאי של 6 ימים למטרת הכשרתו בשיריון, ובמסגרת זו הוכשר בירי טילי יאסין ופצצות RPG .",גזר דין
