text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בפני כבוד השופט הבכיר, צבי סגל – אב""ד, והשופטים משה דרורי ומשה יועד הכהן",,,,,,,,,,,,,,,,,
"ע""י ב""כ עו""ד שגיא אופיר",,,,,,,,,,,,,,,,,
מפרקליטות מחוז ירושלים (פלילי),,,,,,,,,,,,,,,,,
יעקב ג'ק איוון טייטל (עציר),,,,,,,,,,,,,,,,,
"ע""י ב""כ עו""ד אשר אוחיון, עו""ד מיכאל עירוני",,,,,,,,,,,,,,,,,
"ש""ז פלר, יסודות בדיני עונשין (כרך א, תשמ""ד)",,,,,,,,,,,,,,,,,
"א' כרמי, בריאות ומשפט (2003)",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  34(ח), 34ח, 40א, 40ב, 40ג, 40ג(א), 40ג(ב), 40ד, 40ה, 40ו, 40ז, 40ח, 40ט, 40ט(א), 40ט(א)(1), 40ט(א)(10), 40ט(א)(2), 40ט(א)(3), 40ט(א)(4), 40ט(א)(5), 40ט(א)(6), 40ט(א)(7), 40ט(א)(8), 40ט(ב), 40י, 144(א), 144 (ב2), 144ד2, 300(א)(2), 300א, 300 א(א), 305(1), 329, 329(א), 329(א)(5), 40טו, 40יא, 40יא(10), 40יא(11), 40יא(2), 40יא(3), 40יא(4), 40יא(5), 40יא(6), 40יא(7), 40יא(8), 40יא(9), 40יב, 40יג, 40יג(א), 40יג(ב), 40יג(ג), 40יד, א'1, פרק א'1",,,,,,,,,,,,,,,,,
"אסף טויב, ""ענישה מופחתת ברצח -"", הפרקליט, כרך מח 214",,,,,,,,,,,,,,,,,
"כנגד הנאשם הוגש כתב אישום בגין עבירות אלימות קשות ובהן: שני מעשי רצח, ניסיון לרצח, חבלה בכוונה מחמירה, והסתה לאלימות.",,,,,,,,,,,,,,,,,
"לאחר הסכמת הצדדים ביחס לעובדות המקימות את המעשים, נותרה המחלוקת בין הצדדים בעניין אחריותו הפלילית של הנאשם, הן מבחינת כשרותו לעמוד לדין, והן מבחינת אחריותו למעשיו בעת ביצוע המעשים שייחסו לו.",,,,,,,,,,,,,,,,,
"ביום יא כסלו תשע""ב ( 7.12.11), ניתנה על ידינו החלטה, הקובעת כי הנאשם כשיר לעמוד לדין.",,,,,,,,,,,,,,,,,
"ביום ה שבט תשע""ג (16.1.13), ניתנה על ידינו הכרעת דין מפורטת, ובגדרה הורשע הנאשם בעבירות המתוארות להלן (על פי הסדר שבכתב האישום):",,,,,,,,,,,,,,,,,
"בחודש מאי 1997, החליט הנאשם להרוג ערבי.",,,,,,,,,,,,,,,,,
"המנוח, סמיר אכרם בלביסי ז""ל, יליד 1975, ששימש באותה העת כנהג הסעות, פנה אל הנאשם והציע להסיעו למחוז חפצו, באזור ירושלים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"הנאשם הסכים, והתיישב בצידו הימני של הספסל האחורי ברכב.",,,,,,,,,,,,,,,,,
"הנאשם הורה למנוח לעצור בנקודה מסוימת, כדי לצרף לנסיעה חבר, שאמור לחכות שם.",,,,,,,,,,,,,,,,,
"כאשר ראה הנאשם כי עיניו של המנוח מופנות קדימה, וכי אין עוברי אורח באזור.",,,,,,,,,,,,,,,,,
"ירה הנאשם במנוח, מטווח קצר, קליע, אשר חדר למוחו, וגרם למותו של המנוח.",,,,,,,,,['אקדח'],['ירי'],,,,,,,
"באישום זה מואשם הנאשם בעבירות אלו: ברצח בכוונה תחילה - עבירה לפי סעיף 300(א)(2) לחוק העונשין התשל""ד-1977 (להלן – ""החוק"" או ""חוק העונשין""), שעונש החובה עליה הוא מאסר עולם; ובעבירות נשק, לפי סעיף 144 (ב2) לחוק, עבירה שהעונש המירבי בגינה הוא חמש שנות מאסר.",,,,,,,,,,,,,,,,,
"כשלושה חודשים לאחר האירוע הראשון, החליט הנאשם להרוג פלסטיני נוסף.",,,,,,,,,,,,,,,,,
