text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"חוק העונשין, תשל""ז-1977: סע'  40 ג(א), 40 ט', 40 ט (א), 144(ב), 186(א), 40 יא (4)",,,,,,,,,,,,,,
"ע""י ב""כ עו""ד שרית שמש",,,,,,,,,,,,,,
"ע""י ב""כ עוה""ד אלי כהן, עו""ד איריס טוביאנה ועו""ד קובי פלומו",,,,,,,,,,,,,,
מורן אלופר –הדיון הסתיים,,,,,,,,,,,,,,
"ביום 27.2.17, במסגרת הסדר טיעון, הורשע הנאשם על פי הודאתו בכתב אישום מתוקן בעבירות הבאות: נשיאה והובלת נשק שלא כדין, עבירה לפי סעיף 144(ב) לחוק העונשין, תשל""ז-1977 (להלן: ""החוק"") ובעבירה של החזקת סכין שלא כדין, עבירה לפי סעיף 186(א) לחוק.",,,,,,,,,"['הנאשם הורשע בעבירה של נשיאה והובלת נשק שלא כדין, שכוללת החזקת אקדח']",,,,,['כן']
"ביום 2.6.16 נשא והוביל הנאשם אקדח מסוג קולט 9 מ""מ ובו 8 כדורי אקדח ברכבו, והגיע עמו בשעת צהריים לדרך בן גוריון בבת ים, כאשר האקדח מוסתר ברכב מתחת לכיסוי פלסטיק שבבסיס ידית ההילוכים כשכדור אחד בתוך קנה האקדח.",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']","['ברכב', 'מוסלק - מוסתר']",,,['מאחר'],['אקדח'],,,,,
"כן החזיק הנאשם ברכב, סכין בעלת להב של כ5.5 ס""מ.",,,,,,,,,['סוג הנשק הוא סכין'],,,,,
"הנאשם שהה במקום יחד עם שישה אחרים, בהם נאשם 2, וזאת כפגישה מקדימה לפגישה עם בעל חובו, שאמורה הייתה להתקיים מאוחר יותר.",,,,,,,,,,,,,,
"במעשים המתוארים לעיל, נשא והוביל הנאשם אקדח ותחמושת שלא כדין וכן החזיק סכין שלא כדין.",,,,,,,,['מאחר'],['אקדח'],,,,,
"לבד מכתב האישום המתוקן, לא כלל הסדר הטיעון  הסכמה לעניין העונש.",,,,,,,,,,,,,,
"מטעם התביעה הוגש גיליון מרשם פלילי ובו הרשעה משנת 2010 מבי""ד צבאי בגין העדר מן השרות שלא ברשות, בגינה נדון, בין השאר, למאסר בפועל של מספר חודשים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
אביו של הנאשם הממלא תפקיד בכיר ברשות ציבורית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
האב גולל בדמעות את סיפור חייו של הנאשם מאז התוודע לעולם הסמים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"האב הדגיש כי חרף ההתמכרות לסמים, בנו-הנאשם-לא גרם נזק לחברה או ביקש להשיג כסף בדרכים לא חוקיות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הוא הוסיף ותיאר את שעבר על המשפחה משעה שגורמים עברייניים החלו במסכת איומים ולחצים על מנת לגבות את חוב שהנאשם חב להם.,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בעקבות מעצרו, חולל הנאשם תמורה אמיתית בחייו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
