feature_key,text,extraction
GENERAL_CIRCUM,"ביום 7.9.22 פנה אל הנאשם 1 פעיל חמאס אשר כינה עצמו ""פג'ר"" באמצעות הפייסבוק והציג עצמו כתושב רצועת עזה.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"בהמשך, במהלך חודש 10/22, התנהלה שיחה טלפונית משולשת בין הנאשם 1, פג'ר ונאצר, במהלכה נאמר לנאשם 1 מפורשות כי השניים פעילים בגדודי עז-אלדין אלקסאם של החמאס.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"הנאשם 1 אף פנה לשם כך לאדם בברטעה המזרחית, אולם ללא הצלחה;","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"מטעם הנאשם העידה אמו, שמסרה שהנאשם הוא בנה הבכור.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"האם תיארה כי היא עובדת כמדריכה נגד אלימות במקום מגוריהם (בנדון הוגש אישור על העסקתה כמדריכת מוגנות בחטיבת ביניים) וברוח זו היא חינכה גם את ילדיה, כמו גם על אהבה וסובלנות.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"האם הביעה צער עמוק על מעשי בנה, הדגישה את חומרתם ואת חשיבות החיים המשותפים בין יהודים לערבים במדינת ישראל וביקשה את רחמי בית המשפט בנוגע לענישה.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"בנוסף, הוגש מסמך מטעם המחלקה לשירותים חברתיים במקום מגורי הנאשם ממנו עלה כי הנאשם נשוי ואב ל-3 ילדים.","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"צוין כי משפחת הנאשם סובלת ממצב סוציואקונומי ירוד, וכן נסקרו הקשיים בתחום הרגשי מהם סובלים בני המשפחה, בין היתר על רקע מעצר הנאשם.","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"לגבי קביעת העונש בתוך המתחם, עתרה המאשימה לענישה באמצע המתחם בשים לב, מחד גיסא, להודאת הנאשם, לחיסכון בזמן ולכך שמדובר בצעיר נעדר עבר פלילי, אך מאידך גיסא הפנתה לשיקולי התרעת היחיד והרבים.","['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"עוד נטען כי מבלי להקל ראש מחומרת מעשיו של הנאשם, עיקר המניע שלו היה כלכלי ולא בטחוני-לאומני.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
