text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"ע""י ב""כ עוה""ד אביעד דואק, נדב שחם",1.0035626e-05,5.498847e-06,9.612388e-06,3.621998e-05,5.1121488e-06,3.0256153e-06,6.6469565e-06,2.3891409e-05,2.4224859e-05,2.1074264e-05,0.00044800184,4.680968e-05,0.00031917042,2.4468611e-06
מפרקליטות מחוז ירושלים (פלילי),1.6641641e-05,5.6598283e-06,9.578768e-06,5.21831e-05,6.059935e-06,3.2669238e-06,7.5691887e-06,3.686399e-05,2.4437306e-05,2.1846434e-05,0.00023527395,4.8202935e-05,0.0002268871,2.38177e-06
"ע""י ב""כ עו""ד רועי אטיאס",1.21582825e-05,5.724142e-06,9.597805e-06,3.6374462e-05,5.7401808e-06,3.2004286e-06,6.613004e-06,3.0323716e-05,2.30012e-05,2.1323975e-05,0.00035988053,4.761e-05,0.00024395632,2.3163066e-06
"חוק העונשין, תשל""ז-1977: סע'  144, 144(ב), 144(ז)",2.0458541e-05,5.05024e-06,9.432836e-06,5.45388e-05,6.479843e-06,6.408554e-06,6.5012773e-06,5.2655232e-05,1.979161e-05,1.9957703e-05,0.0001683661,6.521646e-05,0.0004235527,2.657319e-06
"הנאשם הורשע על פי הודאתו שניתנה במסגרת הסדר טיעון, בעבירה של נשיאת נשק, לפי סעיף 144(ב) בחוק העונשין תשל""ז-1977.",1.0407595e-05,5.14749e-06,9.477343e-06,5.2139778e-05,4.76693e-06,8.064397e-06,1.538819e-05,0.0057009426,1.9335324e-05,2.1877184e-05,0.00020361347,6.121241e-05,0.00020253014,0.99999785
"הסדר הטיעון כלל הסכמה לפיה המאשימה תבקש לגזור על הנאשם מאסר בפועל למשך 26 חודשים ורכיבי ענישה נוספים, בעוד ההגנה תהיה חופשית בטיעוניה.",0.29750252,5.207545e-06,9.404542e-06,3.819042e-05,4.4304184e-06,7.756574e-06,7.7598e-06,1.486912e-05,1.7974842e-05,1.4463823e-05,0.0014389827,8.744819e-05,0.00033305452,3.7368318e-06
"עוד הוסכם כי המאשימה לא תבקש לחלט את רכב הנאשם, וכי ההגנה תהיה רשאית לטעון שהנאשם נשא את הנשק לנוכח אירועי יום השבעה באוקטובר 2023 והחשש הנובע מכך.",7.5407293e-06,5.2005425e-06,0.99999607,0.28481084,0.9985354,0.85413617,0.0003364341,0.5583588,1.92268e-05,0.98919094,0.0005670454,0.0002835393,0.00434491,3.1488912e-06
עובדות כתב האישום המתוקן:,1.5491996e-05,5.784202e-06,9.638531e-06,4.1291867e-05,5.638661e-06,5.331084e-06,5.432146e-06,8.637633e-05,2.1684531e-05,3.1236003e-05,0.00035481987,6.012156e-05,0.00028362797,7.071145e-05
"על פי עובדות כתב האישום המתוקן, עובר ליום 9/10/2023 הנאשם, שמעולם לא החזיק ברישיון לנשק, החזיק אקדח הזנקה חצי אוטומטי מסוג Kuzey, מודל GN19 קליבר P.A.K תשעה מילימטר, אשר הוסב לירי תחמושת קליעית, כך שהאקדח יורה ובכוחו להמית (להלן: ""האקדח"").",1.1097294e-05,5.15337e-06,0.9999962,0.99999607,0.9999659,0.44204494,0.99996054,0.9999684,0.9999963,0.9999901,0.00031545406,0.0002460953,0.00038621805,0.99942327
"ביום 9/10/2023 בשעה 22:00 לערך, הנאשם נהג ברכבו, לאחר שהסליק את האקדח מתחת למושב הנהג ברכב, כשהוא עטוף בבד ובתוך שקית.",9.153439e-06,5.1467387e-06,0.9999962,0.9999944,0.99998915,0.039838556,0.9999273,0.9999664,0.99999654,0.9999887,0.0012776308,0.00012637187,0.00043416463,3.1058753e-06
"בנוסף, הנאשם החזיק בתושבת הכוסות ברכב מחסנית תואמת לאקדח, ובה כדור תחמושת בקוטר תשעה מילימטר.",6.6898706e-06,5.241411e-06,0.9999962,0.9999969,0.9999869,0.15032238,0.99996996,0.999966,0.9999964,0.9980869,0.0004930762,0.00011669146,0.00020104884,3.6152467e-06
במועד הטיעונים לעונש המאשימה אישרה כי הנאשם החזיק באקדח במשך יום אחד.,7.660654e-06,5.204204e-06,0.9999962,0.9999529,0.9999063,9.466325e-06,0.99698997,0.9803698,0.9999963,0.9998466,0.0003415644,6.429134e-05,0.00024132503,3.1364714e-06
שירות המבחן ערך שלושה תסקירים בעניינו של הנאשם.,8.417669e-06,5.390916e-06,9.557999e-06,3.4790333e-05,4.7849853e-06,5.6293925e-06,1.0437375e-05,2.2065406e-05,2.00086e-05,1.446712e-05,0.0004816107,5.8099362e-05,0.00018080503,2.5494217e-06
"שירות המבחן פירט כי הנאשם כבן 27, רווק, ללא עבר פלילי, עד מעצרו גר בגפו בהר אדר ועבד כעצמאי.",9.271922e-06,0.99997866,9.544109e-06,3.8746548e-05,5.5733453e-06,9.842495e-06,2.0542357e-05,3.7821745e-05,1.875089e-05,2.1165944e-05,0.00060624065,0.00018166495,0.009714728,4.092681e-06
הנאשם שולב בילדותו במוסדות חינוך של המגזר החרדי.,6.396568e-06,0.9999788,9.668285e-06,4.8369577e-05,4.676184e-06,1.1822805e-05,3.3158118e-05,0.00044889934,2.107145e-05,2.0913376e-05,0.0016896109,8.736584e-05,0.00038087342,2.8506258e-06
"בשל קשיי קשב וריכוז מהם סבל, כיוון שהתקשה בלימודים ופרץ גבולות ומאחר שהוריו התקשו להתמודד עם קשייו, הנאשם שולב במסגרת חוץ ביתית עוד בהיותו בן עשר.",6.3963175e-06,0.99997866,9.337695e-06,5.377734e-05,5.9068357e-06,5.8476217e-05,4.9715058e-05,0.036657676,1.9063938e-05,3.388668e-05,0.0012432786,0.0008478937,0.15509672,3.4130912e-06
"בהמשך, סיים 12 שנות לימוד ללא תעודת בגרות.",1.0903931e-05,0.9999788,9.663031e-06,4.433469e-05,4.314075e-06,1.164866e-05,0.000275769,0.0037093458,2.349351e-05,3.435848e-05,0.00051653985,7.897468e-05,0.00045562699,2.7834471e-06
"לדבריו, הקשר עם הוריו היה מרוחק כיוון שלא עמד בציפיותיהם הדתיות.",9.144775e-06,0.99997866,9.503101e-06,4.840885e-05,1.2958668e-05,0.20620926,6.492401e-05,0.09519984,2.1535165e-05,2.4534635e-05,0.0035440256,0.0014704537,0.15128241,3.0975546e-06
"הנאשם קיבל פטור משירות בצה""ל על רקע בעיה בריאותית, ובמהלך השנים עבד במגוון עבודות לתקופות קצרות כעצמאי וכשכיר, מאחר שהתקשה להתמיד במסגרות לתקופות ארוכות.",8.253189e-06,0.9999788,9.399341e-06,4.7707665e-05,5.1440256e-06,2.1094891e-05,3.0665386e-05,0.16142985,1.8828387e-05,1.8400833e-05,0.0016983569,9.1267866e-05,0.0021833002,3.397581e-06
"הנאשם טען לפני קצינת המבחן כי במהלך מבצע שומר החומות, בעת שעבד כנהג משאית, נקלע למהומות בהן יודו לעברו אבנים שגרמו לכך שהוא נפצע והובהל לבית חולים.",6.8383865e-06,0.99997866,0.99999607,6.3176216e-05,0.9999782,0.9998447,0.275738,0.9998976,2.2031742e-05,0.9999876,0.0006355858,0.00025989264,0.004804089,3.4373877e-06
"בהמשך, סבל כתוצאה מכך מחרדות ופחדים, אך לא פנה לטיפול עד לביצוע העבירה.",6.8334316e-06,0.9999788,9.515688e-06,4.5255656e-05,4.2539e-06,0.0106767,1.3762241e-05,0.78036875,2.0032485e-05,0.0033890295,0.0006053348,0.00014103578,0.57479614,2.9346086e-06
"מסמכים שהציג לפני שירות המבחן מלמדים כי לאחר מעצרו פנה לטיפול פסיכיאטרי, אובחן כסובל מתסמינים העשויים להעיד על פוסט-טראומה והומלץ לו על טיפול תרופתי.",6.241395e-06,0.99997866,9.273213e-06,4.7028923e-05,5.7797965e-06,2.540416e-05,1.5561574e-05,0.00045069953,1.8442539e-05,2.5443951e-05,0.00047541427,0.0002615756,0.0067726215,3.4559757e-06
"לדבריו, הוא לא נוטל את התרופות עליהן הומלץ בשל חששו מהתמכרות לכדורים.",8.334419e-06,0.9999784,9.654815e-06,7.375264e-05,7.063807e-06,0.0013619135,0.0005767219,0.03499596,2.1647877e-05,3.0409752e-05,0.0004450296,0.00016653333,0.015219336,3.7090037e-06
"בהמשך, הנאשם פנה מיוזמתו לטיפול פרטי אצל פסיכולוג קליני מוסמך.",5.08205e-06,0.99997866,9.53041e-06,4.065199e-05,4.204413e-06,9.375563e-06,1.1533457e-05,8.332766e-05,2.0078294e-05,1.930426e-05,0.0003341161,6.138521e-05,0.00062559376,2.8312218e-06
"הפסיכולוג המטפל מסר לשירות המבחן כי לנאשם נגרמו טראומות מהעבר, הוא משתף פעולה עם הטיפול וצפוי לטיפול ארוך טווח.",7.20802e-06,0.99997866,9.400014e-06,4.6941193e-05,5.508641e-06,3.559591e-05,1.7019649e-05,2.7334185e-05,1.8544459e-05,1.6614336e-05,0.0010262633,0.0016798778,0.8786135,3.8387657e-06
"בנוסף, הנאשם שולב בקבוצה טיפולית לעצורי בית, שיתף פעולה באופן מלא עם הטיפול, הגיע לכל הפגישות בזמן והשתתף באופן פעיל ודומיננטי.",7.6085375e-06,0.99997866,9.319875e-06,4.8921476e-05,5.80657e-06,1.1099411e-05,2.5942087e-05,0.081582256,1.902605e-05,2.1511723e-05,0.49131438,0.00070055923,0.24423467,3.688682e-06
"בתסקיר משלים שהוגש פורט כי בחודש ינואר 2025 הנאשם השתלב בקבוצת צעירים בשירות המבחן, המצויה בשלב ראשוני והתחלתי.",1.066704e-05,0.99997866,9.373865e-06,4.5929173e-05,4.415685e-06,9.251325e-06,1.2771437e-05,2.2949755e-05,1.7614548e-05,1.5513642e-05,0.0006341106,0.00018330329,0.00045343617,3.968939e-06
