text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"ע""י ב""כ עו""ד וואסים אבו עאמר",,,,,,,,,,,,,,,,,
מאהר אבו סויס (עציר),,,,,,,,,,,,,,,,,
"ע""י ב""כ עו""ד נטלי אוטן",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  29, 31, 144(א), 144(ב), 329, 329(א)(1), 329(א)(2), 379, 382(א), 413(ה)",,,,,,,,,,,,,,,,,
"הנאשם הורשע על יסוד הודאתו במסגרת הסדר טיעון בסיוע לחבלה בכוונה מחמירה, עבירה לפי סעיף 329(א)(2) יחד עם סעיף 31 לחוק העונשין, התשל״ז-1977; ובנשיאה והובלה של נשק, עבירה לפי סעיף 144(ב) יחד עם סעיף 29 לחוק העונשין.",,,,,,,,,,,,,,['כן'],,,
הסדר הטיעון כלל את תיקונו של כתב האישום המקורי אך זאת מבלי שגובשה הסכמה לעניין העונש.,,,,,,,,,,,,,,,,,
"על פי החלק הכללי לכתב האישום המתוקן, בתקופה הרלוונטית לכתב האישום, התגוררו הנאשם ובני משפחתו בבניין מס' 74 ברחוב אלקאדסיה בשכונה 13 ברהט (להלן - הבניין).",,,,,,,,,,,,,,,,,
"באותה עת, התגוררו בני משפחת אשווי באותו רחוב מול הבניין, באותה השכונה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"במועד שאינו ידוע למאשימה, במהלך חודש פברואר 2024 או בסמוך לכך, התגלע סכסוך בין בני משפחת הנאשם לבין בני משפחת אשווי, אשר טיבו אינו ידוע במדויק למאשימה.",,,,,,,,,,,,,,,,,
"ביום 23.2.24 בשעה 14:00 או בסמוך לכך, החלה קטטה בין משפחת הנאשם לבין בני משפחת אשווי, שכללה יידוי אבנים ויריות מנשק חם.",,,,,,,,,,['ירי'],,,,,,,
"במהלך המתואר לעיל, הגיע הקטין סוהייב רפי אשווי, יליד 30.10.08 (להלן - המנוח) לבית סבו, ברחוב אלקאדסיה 53 בשכונה 13 ברהט, הממוקם במרחק של כ-200 מטר מול ביתו של הנאשם, ועלה לגג הבית ביחד עם בן דודו, אשר החזיק באקדח באותה העת, כדי לצלם ולתעד באמצעות הטלפון הנייד שהיה ברשותו את ההתרחשות בשכונה.",,,,,[],,,,['אקדח'],,,,,,,,
"באותה עת, נורו לעבר בית הסבא ולעבר בתיהם של בני משפחת אשווי, מספר רב של יריות, על ידי אחרים שזהותם אינה ידועה למאשימה.",,,,,,,,,,[],,,,,,,
"כתוצאה מהירי, פגע אחד הקליעים במנוח בכתף שמאל ויצא מגופו.",,,,,,,,,,[],,,,,,,
"המנוח פונה על ידי בני משפחתו באמבולנס של מד""א במצב אנוש לבית החולים סורוקה, כשהוא מחוסר הכרה וללא דופק וסובל מדימום פעיל, ובהמשך נקבע מותו.",,,,,,,,,,,,,,,,,
"על פי עובדות כתב האישום המתוקן, במהלך הדברים המתוארים בחלק הכללי, עלה הנאשם ביחד עם אחר שזהותו אינה ידועה למאשימה על גג הבניין, כשהם נושאים בצוותא חדא ברובה אוטומטי (להלן - הרובה), כלי שמסוגל לירות כדור או קלע ובכוחו להמית, כשהאחר רעול פנים, וזאת כדי לפגוע גופנית בבני משפחת אשווי.",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,['מאחר'],['רובה סער (רובה אוטומטי)'],"['ירי', 'ניסיון לירי']",,,,,,,
"האחר אחז ברובה והנאשם עמד לצידו, וביחד תפעלו והכינו את הרובה לירי.",,,,,,,,,['רובה סער (Assault Rifle)'],['ניסיון לירי'],,,,,,,
"האחר ירה, בין היתר, לעבר בית הסבא וביתם של בני משפחת אשווי צרור יריות, בכוונה להטיל בהם נכות או מום, וזאת כשהנאשם עמד לידו לאורך כל הירי.",,,,,,[],,,"['תת-מקלע (תמ""ק)']","['ירי', 'ניסיון לירי']",,,,,,,
"הנאשם הבחין בעדת ראיה ממשפחת אשווי שתיעדה את האירוע באמצעות הטלפון הנייד שהיה ברשותה באותה עת, פנה אליה והורה לה להפסיק לצלם.",,,,,,,,,,,,,,,,,
"מיד לאחר הירי, נמלט הנאשם ביחד עם האחר, ולא אותר עד למעצרו ביום 2.4.24.",,,,,,,,,,[],,,,,,,
"במעשיו כמתואר לעיל, סייע הנאשם לאחר אשר ניסה שלא כדין לפגוע במשפחת אשווי באמצעות נשק מסוכן, בכוונה להטיל בהם נכות או מום, כשהוא נושא ומוביל נשק חם בלא רשות על פי דין לנשיאתו או להובלתו, בצוותא חדא, עם האחר.",,,,,,[],,['מאחר'],,['ניסיון לירי'],,,,,,,
"בעניינו של הנאשם נערך תסקיר שירות מבחן, ממנו עלו הפרטים הבאים:",,,,,,,,,,,,,,,,,
