text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
מ.י.,,,,,,,,,,,,,,,,,
"מדור תביעות פלילי ת""א",,,,,,,,,,,,,,,,,
"הנאשם הורשע לאחר ניהול הוכחות בשני כתבי אישום, פלילי ותעבורתי, המשותפים לאותו אירוע אשר אוחדו לצורך שמיעתם יחד, בעבירות של תקיפה הגורמת חבלה של ממש לפי סעיף 380 לחוק העונשין, וכן בעבירה של אי מתן אפשרות להולך רגל לחצות בבטחה  וכן נהיגה בקלות ראש,עבירה על פי סעיף 67 (א)+ 62(2) לתקנות התעבורה.",,,,,,,,,,,,,,['לא'],,,
"הנאשם זוכה מעבירות של אי מסירת פרטים , תקנה לפי סעיף 144(א)(3) ואי הודעה למשטרה על תאונה על פי תקנה 144 (א)(4).",,,,,,,,,,,,,,,,,
"בהכרעת הדין נקבע כי ביום ה-19.09.07, עבר הנאשם באמצעות רכבו את מעבר החציה תוך שהוא אינו מאפשר להולכי הרגל במקום לעבור בבטחה, באותו הזמן עבר במעבר החציה המתלונן, אשר חבט ברכבו של הנאשם בעקבות מעשיו.",,,,,,,,,,,,,,,,,
"הנאשם יצא מרכבו, הלך לעבר המתלונן, ונגח בראשו.",,,,,,,,,,,,,,,,,
"כתוצאה מכך, הובהל המתלונן לבית החולים, שם נתפר הפצע שנגרם בעקבות נגיחתו של הנאשם.",,,,,,,,,,,,,,,,,
"המאשימה עתרה להשית על הנאשם מאסר בעבודות שירות, מאסר על תנאי, קנס ופיצוי, בעוד ההגנה טענה לביטול הרשעת הנאשם, וחיובו בשירות לתועלת הציבור.",,,,,,,,,,,,,,,,,
"תסקיר שירות המבחן סקר את קורות חייו של הנאשם, ותיארו כאדם בעל יכולות תפקודיות טובות במישורי החיים השונים,  מדובר באדם אשר לא גובשו אצלו מאפייני התנהגות פסולים כמו אימפולסיביות, קשיים בויסות עצמי, הנותנות לגיטימציה לאלימות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בהתייחסו לביצוע העבירה, סיפר שירות המבחן כי לאחר שחש מאוים, נקט באלימות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"שירות המבחן התרשם כי מדובר באדם אשר מבין כי התנהגותו באירוע הייתה בעייתית וחסרת שליטה, אולם המקרה נשוא כתב האישום היה מקרה חד פעמי עבורו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"הנאשם הביע בפני שירות המבחן את חששו הכבד מהרשעה, ומהפגיעה שהרשעה תגרום לדימויו העצמי ולתפיסתו את עצמו כאדם מתפקד ועובד שאינו מעורב בעולם העברייני.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"שירות המבחן לא הצליח לאתר פגיעה באינטרס קונקרטי, אך נוכח ההערכה כי מדובר באירוע חריג אשר אינו מאפיין את התנהגות הנאשם, המליץ שירות המבחן כי ניתן לשקול בחיוב סיומם של ההליכים ללא הרשעת הנאשם בדין.",,,,,,,,,,,,,,,,,
"לטענת המאשימה, המלצת שירות המבחן שלא להרשיע את הנאשם אינה עולה בקנה אחד עם התנהלותו של הנאשם  במהלך משפטו.",,,,,,,,,,,,,,,,,
"הנאשם ניהל הוכחות ולא לקח אחריות של מעשיו, למרות שהבין כי מדובר בהתנהגות בעייתית, אולם בחר לטעון להגנה עצמית, והטיל את רובה של האחריות באירוע על המתלונן, הנאשם כלל לא לקח אחריות על מעשיו בכל הנוגע לעבירות התעבורה.",,,,,,,,,,,,,,,,,
"למרות שלנאשם אין עבר פלילי, והמדובר בעניינו בעבירה משנת 2007 , מדובר בעבירה חמורה על רקע שימוש בדרך, שבסופה נזקק המתלונן לטיפול רפואי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
"לעומת זאת, משקבע בית המשפט כי לא הוכח שהנאשם עלה פגע ברכבו בכף רגלו של המתלונן, ומאחר והמתלונן וחברו התקרבו אל הנאשם לאחר שזה יצא מרכבו, בעקבות החבטה על רכבו, היה בכך לטענת ב""כ הנאשם כדי להוות התגרות בנאשם, לאיים עליו ולהעמידו במצב בו נאלץ להגן על עצמו.",,,,,,[],,,,,,,,,,,
"לטעתו ב""כ הנאשם מדובר במקרה הקלאסי, בו אין להרשיע את הנאשם מאחר ומדובר באדם נכבד, איש משפחה ובעל עסק.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"הנאשם הביע בפני בית המשפט את צערו , סיפר כי אינו אדם אלים אולם מאחר וחש מאוים פעל מתוך הגנה עצמית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,['הגנה עצמית'],,,,,,,,,,,
העבירות אותן ביצע הנאשם יבחנו לאור תיקון 113 לחוק העונשין:,,,,,,,,,,,,,,,,,
"הערך החברתי המוגן על ידי העבירות בהן הורשע הנאשם הינו שלמות גופו של אדם, הן בהיבט הפלילי והן בהיבט התעבורתי, הנאשם סיכן את המתלונן בנהיגתו ולאחר מכן פגע במתלונן.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"קיים אינטרס חברתי מובהק למנוע סכנה לעוברי דרך בכלל, והולכי רגל במעבר חציה בפרט.",,,,,,,,,,,,,,,,,
"ביריונות ואלימות, כפי שבאה לביטוי בהתלהטות רוחות עקב סכסוך דרך בין עוברי דרך, צריכה לקבל מענה הולם של ענישה מחמירה.",,,,,,,,,,,,,,,,,
"מאידך, לנאשם אין הרשעות קודמות, עבירת האלימות בה הורשע הנאשם קרתה בנסיבות בהן היכה, ככל הנראה, המתלונן על גג רכבו של הנאשם נוכח הסיכון שנשקף לו מנהיגתו של הנאשם בקרבת מעבר חציה אותו חצה המתלונן.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"עם זאת, דחיתי את טענת הנאשם להגנה עצמית מפני סיכון שנשקף לו מהמתלונן וקבעתי כי מדובר ב""חמימות מוח"" גרידא, דהיינו הנאשם יצא מרכבו רק כי המתלונן דפק, בחוזקה כנראה, על גג רכב הנאשם, ויציאת הנאשם מרכבו היתה האלמנט שהסלים את האוירה ואת האלימות וסופה בתקיפה שתקף את המתלונן.",,,,,,[],,,,,,,,,,,
"הנאשם ניהל את הגנתו, ואף שאין לבוא איתו חשבון על כך, לא ניתן להתחשב בקביעת מתחם הענישה ולנכות מעונשו בשל חרטה שהביע או לקיחת אחריות למעשה.",,,,,,,,,,,,,,,,,
"מאידך, יש לזכור כי מדובר באירוע שאירע בשנת 2007, והקשר המתרופף שבין החטא לעונשו חייב לבוא אף הוא לידי ביטוי בקביעת המתחם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
"מכל המצטבר עולה כי מתחם הענישה לעבירות אותן עבר הנאשם הינו בין מאסר על תנאי למאסר שאפשר וירוצה בעבודות שירות, לפיכך – עתירת התביעה לעונש כפי שעתרה אינו חורג ממתחם זה.",,,,,,,,,,,,,,,,,
"מאידך, עתירת הנאשם להימנע מהרשעתו חורגת מהמתחם, וגם אם היה ניתן להישען על הזמן הרב שחלף כמנוף להימנעות מהרשעה, ודאי שאין די באלמנט זה, כשלעצמו, כדי לשקול אי הרשעת הנאשם, אלא דרוש אלמנט שיקומי מובהק, בתוספת פגיעה קונקרטית בנאשם ש""עלותה"" גבוהה מזו המתבטאת באינטרס הציבורי הרחב בהרשעה כדרך המלך, על מנת לעשות כן.",,,,,,,,,,,,,,,,,
"מחד גיסא, על בית המשפט לשקול את האינטרס הציבורי, אינטרס זה יגלם בתוכו את חומרתה של העבירה ואילו מאידך גיסא את שיקולי השיקום של הנאשם, האם יש בכוחם לגבור על האינטרס הציבורי.",,,,,,,,,,,,,,,,,
"שיקולי השיקום יבואו לידי ביטוי בנאשם האינדיבידואלי שעומד בפני בית המשפט, כאשר שאלת מהות העבירה אינה הדבר היחיד העומד לנגד עיניו, הנאשם, שיקומו ועתידו הינו אחד ממכלול השיקולים העומדים בפניו של בית המשפט ויש בהם, בעת הצורך להוות שיקול מכריע.",,,,,,,,,,,,,,,,,
"על פי תסקיר שירות המבחן הנאשם הינו אדם נורמטיבי, בעל ערכים מקובלים, יכולות תפקוד טובות, אדם שאינו אלים בדרך כלל ואינו בעל מאפייני אישיות המורים על סיכון לאלימות מצידו בעתיד, על פי התסקיר מדובר במקרה חד פעמי שאינו מאפיין את הנאשם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"אף שהתרשמות זו אינה מצביעה על ""שיקום"", לכאורה הנאשם אינו זקוק לשיקום כלל, ואולם קשה לי לראות, בהיבט כלשהו של הנאשם או של ההתרחשות, כיצד עולה התרשמות שירות המבחן בקנה אחד עם התנהגותו של הנאשם באירוע אשר היה בה אלמנט מובהק של ""עשיית חשבון"" עם המתלונן שדפק על גג רכבו של הנאשם, ושל ""לא לצאת פראייר"" – על דרך של ""לצאת מהאוטו"", באופן המסלים אווירה ומביאה לכלל נפיצות, כפי שאכן אירעה בפועל, כאשר התקרב למתלונן ונגח בראשו.",,,,,,,,,,,,,,,,,
"בנתונים אלה, סטייה ממתחם הענישה לכיוון של אי הרשעה, עוד קודם להוכחת האינטרס הקונקרטי של הנאשם, היתה מחייבת שיקום אמיתי, דהיינו לקיחת אחריות, הבנה והפנמה של הפסול בהתנהגות, חרטה עליה ונקיטת צעדים כאלו או אחרים שישכנעו את בית המשפט כי בסיטואציה דומה בעתיד יבחר הנאשם בדרכי התנהגות שונים שימנעו הגעה לתוצאה דומה או קרובה לזו שהתרחשה במציאות.",,,,,,,,,,,,,,,,,
"בהיעדר דבר מאלה, לא ניתן לשקול אי הרשעה לנאשם, קל וחומר כאשר לא הוכח כל אינטרס קונקרטי, לבד מאלה המהווים אינטרס של כל נאשם שלא להיות מורשע, ובהם התחושה הקשה והתיוג כמי שהמרחק בינו לבין ""עבריינות"" הצטמצם.",,,,,,,,,,,,,,,,,
"רק נסיבות הזמן הרב שחלף, ותיאורו של הנאשם כנורמטיבי לחלוטין על ידי שירות המבחן, שאיני יכול להתעלם ממנו כ""משקף"" לחייו של הנאשם עד כה, כמגובה גם בהיעדר הרשעות או תיקים פתוחים נוספים, שמשקלם במקרה זה רב, מביאים אותי לקבוע את הענישה ברף התחתון של המתחם.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,,
לאור כל האמור לעיל אני מטיל על הנאשם את העונשים הבאים:,,,,,,,,,,,,,,,,,
מאסר למשך 4 חודשים ואולם הנאשם לא ירצה עונש זה אלא אם יעבור כל עבירת אלימות לפי חוק העונשין תוך שנתיים מהיום.,,,,,,,,,,,,,,,[],['4 חודשי מאסר על תנאי'],[]
"אני גוזר על הנאשם פיצוי בסך 1500 ש""ח למתלונן שפרטיו מצויים בסעיף 1 לרשימת עדי התביעה.",,,,,,,,,,,,,,,,,
"אני גוזר על הנאשם קנס בסך 1500 ש""ח, הקנס  והפיצוי ישולמו עד ליום 01.07.13",,,,,,,,,,,,,,,[],[],"['1500 ש""ח']"
אני פוסל את הנאשם מהחזקת רישיון נהיגה למשך 6 חודשים ואולם הנאשם לא ירצה עונש זה אלא אם יעבור בתוך 3 שנים מהיום אחת מהעבירות לפי פקודת התעבורה בהן הורשע לפני.,,,,,,,,,,,,,,,[],[],[]
זכות ערעור לבית משפט מחוזי תוך 45 יום .,,,,,,,,,,,,,,,,,
"54678313ניתן היום,  ו' ניסן תשע""ג, 19 מרץ 2013, בנוכחות הצדדים.",,,,,,,,,,,,,,,,,
