text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
נגד,,,,,,,,,['נגד הנשק הוא רובה סער (Assault Rifle)'],,,,,,,,
"ב""כ המאשימה: גב' שני קליימן, מתמחה",,,,,,,,,,,,,,,,,
"ב""כ הנאשם: עו""ד מאיה גלעדי",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  40 ט', 144 (א), 40 יא, 40 יג'",,,,,,,,,,,,,,,,,
הנאשם הורשע בהכרעת דין מפורטת בעבירות הבאות:,,,,,,,,,,,,,,,,,
"החזקת נשק שלא כדין, לפי סעיף 144 (א) רישא לחוק העונשין, תשל""ז-1977 (להלן: ""החוק"").",,,,,,,,,,,,,,,,,
"החזקת אבזר נשק ותחמושת שלא כדין, לפי סעיף 144 (א) סיפא לחוק.",,,,,,,,,,,,,,,,,
"על-פי המתואר בעובדות כתב האישום וכפי שעולה מהכרעת הדין, ביום 5.7.12 החזיק הנאשם, מוסלק בקרבת ביתו שבכפר ברא, ברובה מאולתר דמוי קרל גוסטב ובמחסנית תואמת.",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,['תת מקלע מאולתר'],,,,,,,,
"העיד מר ריאן קמאל בן עומאר, סגן ראש המועצה בכפר ברא (להלן: ""מר עומאר"").",,,,,,,,,,,,,,,,,
העיד כי מכיר את המשפחה של הנאשם מסוף שנות ה-80.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
אז משפחתו של הנאשם הייתה במצב כלכלי קשה.,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"המועצה נטלה יוזמה ושיקמה את המשפחה, בין היתר, בנו להם קורת גג.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"הנאשם חי חיים נורמטיביים, נישא לאישה, עומד להיוולד לו ילד בחודשים הקרובים, הוא עובד, תורם לחברה, מתנדב במספר מסגרות ומתפרנס בכבוד.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"לטענת ב""כ המאשימה, עו""ד רועי רייס, בית המשפט העליון הביע פעם אחר פעם באופן שאינו משתמע לשתי פנים את עמדתו לעניין חומרתה של עבירת החזקת נשק שלא כדין.",,,,,,,,,,,,,,,,,
מדובר בעבירה חמורה שיש בה פוטנציאל לפגיעה משמעותית בחיי אדם.,,,,,,,,,,,,,,,,,
"כמן כן, עבירה זו מקימה חשש לשימוש פסול, מסוכן ועברייני בנשק.",,,,,,,,,,,,,,,,,
הקלות הבלתי נסבלת בה כל מאן דהוא יכול בימינו לשים ידו על נשק חם היא מטרידה ומקוממת.,,,,,,,,,,,,,,,,,
נשק הוא כלי קטלני מטבעו.,,,,,,,,,,,,,,,,,
האינטרס הציבורי הוא שנשק ותחמושת יהיו רק בידי מי שמוסמך ורשאי להחזיקו.,,,,,,,,,,,,,,,,,
"החזקת נשק בידי הידיים הלא נכונות טומנת בחובה סיכון לרכוש, לחיי אדם ולביטחון הפרט והציבור בכללותו.",,,,,,,,,,,,,,,,,
לא בכדי קבע המחוקק 7 שנות מאסר בגין עבירה של החזקת נשק.,,,,,,,,,,,,,,,,,
"הנאשם בן 25, הכחיש את המיוחס לו ובחר לנהל הוכחות, כאשר הוא עודנו נמנע מלקיחת אחריות וניכר כי לא הפנים את מלוא חומרת העבירות, וזאת יש לזקוף לחובתו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,['לא'],,,
