text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"על ידי ב""כ עו""ד גלית שהם, עו""ד מיכל אזולאי ומר אהרון למברגר, מתמחה.",,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  40, 144(א), 40 יא'",,,,,,,,,,,,,,
"הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק לפי סעיף 144(א) רישא לחוק העונשין התשל""ז-1977.",,,,,,,,,,,,,,['כן']
"על פי עובדות כתב האישום המתוקן, הנאשם הוא אזרח ישראלי.",,,,,,,,,,,,,,
"במועד ובדרך שאינה ידועה במדויק למאשימה, השיג חוסאם אשהב (להלן: ""אשהב"") תת מקלע מאולתר בצורת נשק מסוג ""תבור"" (להלן: ""הנשק"").",,,,,,,,,['תת מקלע מאולתר'],,,,,
אשהב החביא את הנשק בשכונה הסמוכה למקום מגוריו ולאחר מכן ירה באמצעותו לעבר כוחות הביטחון.,,,,,['מוסלק - מוסתר'],,,[],,"['ירי', 'ניסיון לירי']",,,,
"בתאריך שאינו ידוע במדויק למאשימה, בסביבות חודש מרץ 2016, ראה אשהב כי כוחות הביטחון מבצעים חיפושים אחר נשקים בקלנדיה ובעקבות כך חשש אשהב כי כוחות הביטחון יאתרו את הנשק.",,,,,[],,,,,,,,,
"לאור כך פנה אשהב לנאשם, אמר לו כי כוחות הביטחון מבצעים חיפושים בקלנדיה וכי הוא חושש שיאתרו את הנשק וביקש מהנאשם לשמור על הנשק אצלו למשך מספר ימים.",,,,,[],,,['מאחר'],,,,,,
הנאשם הסכים לכך והחביא את הנשק בביתו שבכפר עקב.,,,,,"['בבית', 'מוסלק - מוסתר']",,,['מאחר'],,,,,,
כעבור כעשרה ימים לקח הנאשם את הנשק ומסר לאחר.,,,,,[],,,,,,,,,
"בתאריך 2.5.16 בשעה 1:00 או בסמוך לכך, הגיעו כוחות הביטחון לביתו של הנאשם על מנת לתפוס את הנשק ולעצרו.",,,,,[],,,,,,,,,
"הנאשם מסר לכוחות הביטחון כי העביר את הנשק לאחר, ובעקבות כך לקחו כוחות הביטחון את הנאשם למחסום קלנדיה, וזאת על מנת שהנאשם ימסור את הנשק.",,,,,[],,,[],,,,,,
