,verdict,text,part
0,SH-24-05-65090-664-3,"הנאשם הורשע, לאחר שמיעת הוכחות, בעבירות של החזקת נשק, תחמושת ואבזרי נשק.",רקע
1,SH-24-05-65090-664-3,"על פי עובדות הכרעת הדין, ביום 6.5.24 החזיק הנאשם בבית מגורים שבבעלותו, הנמצא בעיר חברון (להלן: הבית), כלי נשק ואבזרי נשק שונים, ללא היתר כדין:",רקע
2,SH-24-05-65090-664-3,"שלושה רימוני יד, המשמשים לאימון הטלת רימון רסס.",רקע
3,SH-24-05-65090-664-3,28 מחסניות לאקדח גלוק ועשרות כדורים.,רקע
4,SH-24-05-65090-664-3,שני נרתיקים לאקדח ונרתיק אחד למחסניות.,רקע
5,SH-24-05-65090-664-3,"להשלמת התמונה אוסיף, כי יוחס לנאשם אישום נוסף, ממנו זוכה.",רקע
6,SH-24-05-65090-664-3,"ב""כ המאשימה הפנה לחומרת העבירות בהן הורשע הנאשם, פגיעתן בערכים מוגנים, פוטנציאל הנזק שבהן והצורך להרתיע מפני ביצוען.",טענות הצדדים
7,SH-24-05-65090-664-3,"לאור אלה טען, כי מתחם העונש ההולם הוא מאסר שבין שלוש שנים לשש שנים.",טענות הצדדים
8,SH-24-05-65090-664-3,"לאור נסיבות הענין, ובהן הרשעותיו הקודמות של הנאשם והעדר קבלת אחריות, ביקש ב""כ המאשימה להשית על הנאשם עונש בצידו הגבוה של המתחם.",טענות הצדדים
9,SH-24-05-65090-664-3,"ב""כ הנאשם ביקש לנהוג בנאשם מידת הרחמים וטען, כי עמדתה של המאשימה מחמירה עם הנאשם יתר על המידה.",טענות הצדדים
10,SH-24-05-65090-664-3,"בטיעונו הפנה לכך שהנאשם נשוי ואב לשני ילדים, שאחד מהם למרבה הצער נכה, והגיש מסמכים לעניין זה.",טענות הצדדים
11,SH-24-05-65090-664-3,"עוד טען, כי אין לזקוף לחובת הנאשם את עמידתו על חפותו.",טענות הצדדים
12,SH-24-05-65090-664-3,"בנוסף טען, כי מעשיו של הנאשם לא הסבו כל נזק וכי יש לאזן את עונשו עם שיקולי השיקום.",טענות הצדדים
13,SH-24-05-65090-664-3,הנאשם לא ביקש לומר דבר.,טענות הצדדים
14,SH-24-05-65090-664-3,"ב""כ שני הצדדים הגישו פסיקה לתמיכה בעמדותיהם.",טענות הצדדים
15,SH-24-05-65090-664-3,"עם זאת אציין, כי חלק מהפסיקה שהוגש הוא מהעת שקדמה לתיקון 140 לחוק העונשין (אליו אתייחס בהמשך) ועל כן משקלה מועט.",טענות הצדדים
16,SH-24-05-65090-664-3,"הנאשם החזיק בביתו אקדח מסוג גלוק, תחמושת רבה ו-28 מחסניות תואמות לאקדח, מחסנית לרובה 16M, וכן שלושה רימוני אימונים, אשר גם אם אינם קטלניים, יכולים לגרום נזק.",מתחם העונש ההולם
17,SH-24-05-65090-664-3,"עבירה זו מקימה פוטנציאל ממשי לפגיעה בערך המוגן החשוב מכל, שמירה על חיי אדם, שהרי החזקת נשק שלא כדין מקפלת בתוכה סיכון ממשי כי יעשה בו שימוש לביצוע עבירות פליליות, ובכך יביא לקיפוח נפש – וכמעט מדי יום אנו מקבלים לכך המחשה חיה, בין אם במסגרת אירוע בטחוני בין אם במסגרת אירוע פלילי.",מתחם העונש ההולם
18,SH-24-05-65090-664-3,בית המשפט העליון עמד בשורה ארוכה של פסקי דין על חומרתן הרבה של עבירות הנשק והסכנה הטמונה בהן ועל הצורך להחמיר עם מבצעיהן.,מתחם העונש ההולם
19,SH-24-05-65090-664-3,"כמו כן, לאור ריבוי מקרים בהם שימוש בנשק לא חוקי הביא לאבדן חיי אדם, ישנה בשנים האחרונות מגמת החמרה ניכרת בענישה בעבירות אלו, המתבטאת גם בתיקון 140 לחוק העונשין אשר קבע בצד עבירות נשק עונש מזערי, אליו אתייחס בהמשך.",מתחם העונש ההולם
20,SH-24-05-65090-664-3,"לאחרונה נתן המחוקק דעתו לצורך בהחמרת הענישה של אלה המורשעים בעבירות נשק, כאשר במסגרת תיקון מס' 140 עיגן באופן חריג עונשי מינימום בעבירות נשק, כך שהעונש שיושת בגינן יעמוד לכל הפחות על רבע העונש המרבי שנקבע לעבירה, אלא אם החליט בית המשפט מטעמים מיוחדים שיירשמו להקל בעונש (סעיף 144(ז) לחוק העונשין, התשל""ז-1977; וראו: דברי ההסבר להצעת חוק העונשין (תיקון מס' 142 – הוראת שעה)(עונש מזערי על החזקת נשק בלא רשות על פי דין), התשפ""א-2021, ה""ח 90).",מתחם העונש ההולם
21,SH-24-05-65090-664-3,"בקביעת מתחם העונש אביא בחשבון את חומרת מעשיו של הנאשם, המתבטאת, בצד החזקת האקדח, בכמות התחמושת והמחסניות אותן החזיק הנאשם, המקשה לקבל את ההנחה כי מדובר בהחזקה ""לשימוש עצמי בלבד"", פוטנציאל הנזק הטמון במעשים, הצורך החיוני להרתיע מפני ביצוע עבירות דומות, רמת הענישה הנוהגת והעונש המזערי שבצידה של העבירה.",מתחם העונש ההולם
22,SH-24-05-65090-664-3,"הנאשם יליד שנת 1986, ומטיעוני ב""כ כוחו עולה כי הוא נשוי ואב לילדים, אשר למרבה הצער אחד מהם סובל מנכות (הוצגו לעניין זה מסמכים מהביטוח הלאומי).",נסיבות שאינן קשורות לעבירות
23,SH-24-05-65090-664-3,לחובת הנאשם מסר הרשעות קודמות:,נסיבות שאינן קשורות לעבירות
24,SH-24-05-65090-664-3,בשנת 2005 הורשע בהחזקת סכין ונדון למאסר מותנה.,נסיבות שאינן קשורות לעבירות
25,SH-24-05-65090-664-3,בשנת 2007 הורשע בהחזקת נשק והחזקת סכין ונדון לששה חודשי מאסר בעבודות שירות ועונשים נלווים.,נסיבות שאינן קשורות לעבירות
26,SH-24-05-65090-664-3,בשנת 2009 הורשע בעבירות של הכנת עבירה בחומרים מסוכנים והחזקת סכין ונדון לשבעה חודשי מאסר בפועל ועונשים נלווים.,נסיבות שאינן קשורות לעבירות
27,SH-24-05-65090-664-3,"בשנת 2009 הורשע הנאשם בהליך נוסף בעבירות של ניסיון לסחר בנשק וקשר לפשע, ונדון לשנה מאסר ועונשים נלווים.",נסיבות שאינן קשורות לעבירות
28,SH-24-05-65090-664-3,בשנת 2019 הורשע הנאשם בגניבה ונדון למאסר מותנה.,נסיבות שאינן קשורות לעבירות
29,SH-24-05-65090-664-3,מכלול שיקולי הענישה פועל לחובת הנאשם:,דיון והכרעה
30,SH-24-05-65090-664-3,"מדובר במי שלחובתו מספר הרשעות קודמות, בעבירות ממין העניין, ובכלל זה ניסיון סחר בנשק והחזקת נשק, בגינן נדון למספר מאסרים, אשר לא הביאו להרתעתו.",דיון והכרעה
31,SH-24-05-65090-664-3,"מעבר לכך, הנאשם לא קיבל אחריות למעשיו, וכאשר העיד ניכר בו, כי אינו מודע כלל לחומרת מעשיו ופוטנציאל הנזק הטמון בהם, וכי הוא חדור תחושת קרבנות, כאילו נעשה לו עוול בעצם מעצרו והאשמתו בעבירות בהן הורשע.",דיון והכרעה
32,SH-24-05-65090-664-3,"אדגיש, כי לא אחמיר עם הנאשם בשל עצם כפירתו, שהרי זו זכות השמורה לכל נאשם.",דיון והכרעה
33,SH-24-05-65090-664-3,"עם זאת, נאשם אשר מקבל אחריות למעשיו, ומבין את הפסול שבהם, זכאי להקלה, ממנה לא יהנה הנאשם.",דיון והכרעה
34,SH-24-05-65090-664-3,"בצד זאת אציין, כי ההליך נוהל באופן ממוקד וענייני, ועיקר חומר הראיות הוגש בהסכמה.",דיון והכרעה
35,SH-24-05-65090-664-3,"מנגד, הבאתי בחשבון, לחובת המאשימה, כי חרף העובדה שניתן צו חיפוש על פיו היה צריך לבצע את החיפוש בנוכחות שני עדים, החיפוש בוצע ללא עדים.",דיון והכרעה
36,SH-24-05-65090-664-3,"כפי שפרטתי בהכרעת הדין, משקלו של פגם זה אינו גבוה, שכן מהראיות עלה שהחיפוש בוצע באמצעות כלב, שנוכחות של אנשים נוספים מלבד הכלבנית הפריעה לו - אך עדיין, ניתן לצפות כי המשטרה תפעל על פי צו שיפוטי, שניתן לבקשתה.",דיון והכרעה
37,SH-24-05-65090-664-3,"לאור זאת, אשית על הנאשם עונש במרכזו של המתחם אותו קבעתי.",דיון והכרעה
38,SH-24-05-65090-664-3,"שלוש שנים מאסר בפועל, אשר ימנה מיום מעצרו של הנאשם, 6.5.24, גם אם רישומי שב""ס יראו אחרת.",לפיכך גוזר על הנאשם את העונשים הבאים:
39,SH-24-05-65090-664-3,"שמונה חודשי מאסר בו לא יישא, אלא אם יעבור תוך שלוש שנים מיום שחרורו מהמאסר עבירת נשק שהיא פשע.",לפיכך גוזר על הנאשם את העונשים הבאים:
40,SH-24-05-65090-664-3,"ארבעה חודשי מאסר בו לא יישא, אלא אם יעבור תוך שלוש שנים מיום שחרורו מהמאסר עבירת נשק שהיא עוון.",לפיכך גוזר על הנאשם את העונשים הבאים:
41,SH-24-05-65090-664-3,"המוצגים יחולטו והמאשימה רשאית להשמידם, על פי החלטת פרקליט המחוז, לאחר שפסק הדין יעשה חלוט.",לפיכך גוזר על הנאשם את העונשים הבאים:
42,SH-24-05-65090-664-3,54678313זכות ערעור לבית המשפט המחוזי בירושלים תוך 45 יום.,לפיכך גוזר על הנאשם את העונשים הבאים:
43,SH-24-05-65090-664-3,"ניתן היום,  ט' ניסן תשפ""ה, 07 אפריל 2025, בנוכחות הצדדים.",לפיכך גוזר על הנאשם את העונשים הבאים:
